Database of representative transcript models for protein-coding genes in X. laevis and for the poly(A)-tail length standards.
Transcript models were curated from Unigene; the sequence of each transcript is provided in an accompanying file (Xenopus_whole_transcripts.txt).
Coordinates of each Xenopus gene are in reference to the corresponding sequence in Xenopus_whole_transcripts.txt.
UniqueID	GeneName	UniqueID	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
1293702	integrin alpha 4 mRNA	1293702	+	0	4226	104	3203	1	0	4226,
169642023	hypothetical protein LOC100158320	169642023	+	0	2415	240	2268	1	0	2415,
49256560	MGC82583 protein	49256560	+	0	940	44	515	1	0	940,
49115542	MGC80947 protein	49115542	+	0	1114	77	629	1	0	1114,
47506955	hypothetical protein MGC83180	47506955	+	0	2427	88	946	1	0	2427,
124481855	hypothetical protein LOC100037145	124481855	+	0	2156	177	1533	1	0	2156,
37589385	hypothetical protein MGC69068	37589385	+	0	3440	73	1165	1	0	3440,
50604072	WD-repeat protein	50604072	+	0	1581	45	1074	1	0	1581,
29387368	similar to carnitine palmitoyltransferase 1	29387368	+	0	5415	156	2463	1	0	5415,
37181066	p27BBP/eIF6 mRNA	37181066	+	0	1085	67	805	1	0	1085,
52354644	cDNA clone MGC:84774 IMAGE:6950982	52354644	+	0	1101	78	684	1	0	1101,
50414541	serine threonine kinase 39 (STE20/SPS1 homolog	50414541	+	0	2360	217	1801	1	0	2360,
41688005	xlcry-dash mRNA for cryptochrome dash	41688005	+	0	1960	0	1572	1	0	1960,
32450459	cardiac troponin C	32450459	+	0	1356	44	530	1	0	1356,
115528675	hypothetical protein LOC100158368	115528675	+	0	3514	113	1508	1	0	3514,
49903370	MGC81344 protein	49903370	+	0	2831	64	2527	1	0	2831,
47507407	hypothetical protein MGC78786	47507407	+	0	1298	162	720	1	0	1298,
54311230	hypothetical LOC495336	54311230	+	0	2590	132	2268	1	0	2590,
51258528	MGC84827 protein	51258528	+	0	1678	3	570	1	0	1678,
124481733	hypothetical protein LOC100037146	124481733	+	0	3001	184	2545	1	0	3001,
120537977	hypothetical protein LOC100036888	120537977	+	0	2119	169	1372	1	0	2119,
62740247	hypothetical protein LOC443590	62740247	+	0	3497	138	2967	1	0	3497,
49257384	MGC83017 protein	49257384	+	0	1419	47	1040	1	0	1419,
7110523	7-transmembrane receptor frizzled-1 mRNA	7110523	+	0	1681	0	1680	1	0	1681,
171846442	hypothetical protein LOC100158438	171846442	+	0	4626	50	4550	1	0	4626,
31321903	PP2A B'' subunit PR74 mRNA	31321903	+	0	2319	83	2069	1	0	2319,
50927471	amyloid-beta-like protein A	50927471	+	0	3600	72	1836	1	0	3600,
2852393	retinoid X receptor-interacting coactivator xSRC-3 mRNA	2852393	+	0	4547	0	4176	1	0	4547,
50414881	ATP/GTP binding protein 1	50414881	+	0	4316	205	3883	1	0	4316,
61654465	teashirt 1a mRNA	61654465	+	0	3238	0	3237	1	0	3238,
50925160	MGC84006 protein	50925160	+	0	4649	189	1215	1	0	4649,
47125197	hypothetical protein MGC83745	47125197	+	0	6207	213	4497	1	0	6207,
27503420	carbonic anhydrase II	27503420	+	0	1835	62	845	1	0	1835,
120538254	hypothetical protein LOC100036882	120538254	+	0	2041	124	1150	1	0	2041,
37747701	phospholipase D3	37747701	+	0	2382	126	1608	1	0	2382,
49118932	MGC82740 protein	49118932	+	0	3413	233	710	1	0	3413,
27924198	7-dehydrocholesterol reductase	27924198	+	0	1718	55	1477	1	0	1718,
27881804	pescadillo	27881804	+	0	2426	8	1733	1	0	2426,
56541009	hypothetical LOC496164	56541009	+	0	979	28	805	1	0	979,
38014508	hypothetical protein MGC68563	38014508	+	0	3061	41	1526	1	0	3061,
46250187	caspase-10	46250187	+	0	2195	192	1755	1	0	2195,
57033119	hypothetical LOC496350	57033119	+	0	568	28	412	1	0	568,
186967927	galanin B (GalB) mRNA	186967927	+	0	505	135	504	1	0	505,
47507421	hypothetical protein MGC80042	47507421	+	0	1276	307	925	1	0	1276,
57032744	hypothetical LOC496312	57032744	+	0	1795	239	1313	1	0	1795,
27530886	xPRMT1 mRNA for protein arginine methyltransferase 1	27530886	+	0	2024	56	1166	1	0	2024,
51704117	guanine nucleotide binding protein (G protein)	51704117	+	0	2655	62	1142	1	0	2655,
19909788	Xksy mRNA for tyrosine kinase	19909788	+	0	3783	574	3217	1	0	3783,
76779591	hypothetical protein MGC131226	76779591	+	0	1285	7	427	1	0	1285,
115529170	Interleukin-1 receptor-associated kinase 1-binding protein 1 homolog	115529170	+	0	886	34	772	1	0	886,
37747606	hypothetical protein MGC68484	37747606	+	0	2003	63	981	1	0	2003,
163915834	hypothetical protein LOC100137702	163915834	+	0	2063	26	1673	1	0	2063,
122936439	hypothetical protein LOC100037080	122936439	+	0	986	4	892	1	0	986,
58701926	BTB/POZ domain-containing protein TNFAIP1	58701926	+	0	5990	219	1179	1	0	5990,
156230773	hypothetical protein LOC100126603	156230773	+	0	2627	340	1186	1	0	2627,
6851370	pituitary homeobox gene 1 paired-like homeodomain transcription factor (Pitx1) mRNA	6851370	+	0	2000	261	1179	1	0	2000,
54038165	cDNA clone MGC:84151 IMAGE:6951635	54038165	+	0	2678	246	1287	1	0	2678,
47123145	hypothetical protein MGC83851	47123145	+	0	1737	155	1229	1	0	1737,
27696435	interleukin enhancer binding factor 2	27696435	+	0	1415	43	1210	1	0	1415,
27924182	calnexin	27924182	+	0	2773	41	1877	1	0	2773,
214746	ribonucleoprotein mRNA	214746	+	0	1653	40	1198	1	0	1653,
49257599	MGC82130 protein	49257599	+	0	1347	72	804	1	0	1347,
71051868	hypothetical protein MGC116473	71051868	+	0	799	17	482	1	0	799,
1515432	nuclear orphan receptor xGCNF mRNA	1515432	+	0	2159	83	1391	1	0	2159,
213625361	cDNA clone MGC:197165 IMAGE:9093820	213625361	+	0	2902	419	2825	1	0	2902,
148921634	hypothetical protein LOC100101329	148921634	+	0	2691	163	1492	1	0	2691,
94966415	XGAP mRNA for ADP ribosylation factor GAP protein	94966415	+	0	2529	53	1628	1	0	2529,
49903648	lipoprotein	49903648	+	0	2902	33	1857	1	0	2902,
58884349	proprotein convertase 6B (PC6) mRNA	58884349	+	0	6042	310	5860	1	0	6042,
52354773	hypothetical LOC494799	52354773	+	0	1044	102	933	1	0	1044,
51593550	MGC85579 protein	51593550	+	0	1309	131	596	1	0	1309,
27371021	jun oncogene	27371021	+	0	1983	311	1250	1	0	1983,
28461381	triosephosphate isomerase	28461381	+	0	1605	39	786	1	0	1605,
50415444	zinc finger	50415444	+	0	3035	63	2775	1	0	3035,
49116051	MGC83646 protein	49116051	+	0	3174	432	1671	1	0	3174,
27370874	poly(rC) binding protein 2 b	27370874	+	0	1775	334	1396	1	0	1775,
52139069	tyrosine phosphatase Cdc25A	52139069	+	0	3596	152	1730	1	0	3596,
21435713	Stat1 mRNA	21435713	+	0	2868	79	2335	1	0	2868,
50414899	MGC80471 protein	50414899	+	0	2470	167	1022	1	0	2470,
83318409	hypothetical LOC495515	83318409	+	0	2450	9	1911	1	0	2450,
54311489	secretogranin II	54311489	+	0	3745	23	1859	1	0	3745,
15809632	intraflagellar transport protein 20 mRNA	15809632	+	0	826	73	472	1	0	826,
52430512	hypothetical LOC494831	52430512	+	0	2450	13	2008	1	0	2450,
49117939	MGC80307 protein	49117939	+	0	2748	173	2672	1	0	2748,
56269165	hypothetical LOC496013	56269165	+	0	1182	223	970	1	0	1182,
49523107	MGC82049 protein	49523107	+	0	3119	156	1980	1	0	3119,
109631103	receptor tyrosine kinase ErbB4 (erbb4) mRNA	109631103	+	0	4112	211	4111	1	0	4112,
27882450	hypothetical protein MGC52715	27882450	+	0	2679	152	1349	1	0	2679,
47937604	serine/threonine protein kinase ARAF	47937604	+	0	3368	93	1881	1	0	3368,
311051	transcription factor xGATA-5b (GATA-5b) mRNA	311051	+	0	2096	241	1408	1	0	2096,
47939785	hypothetical protein MGC81517	47939785	+	0	3426	79	1579	1	0	3426,
114108285	hydroxyacylglutathione hydrolase-like	114108285	+	0	1396	126	1029	1	0	1396,
148745329	hypothetical protein LOC100101289	148745329	+	0	2074	132	2034	1	0	2074,
47939777	hypothetical protein MGC81405	47939777	+	0	3228	82	2299	1	0	3228,
54261542	cytochrome P450 XL-304	54261542	+	0	1727	10	1543	1	0	1727,
51513380	MGC84329 protein	51513380	+	0	2003	57	1137	1	0	2003,
57921027	hypothetical protein MGC85107	57921027	+	0	1297	121	763	1	0	1297,
49522778	MGC84432 protein	49522778	+	0	1671	31	322	1	0	1671,
311053	intestinal fatty acid binding protein mRNA	311053	+	0	620	40	439	1	0	620,
13487712	CTD phosphatase mRNA	13487712	+	0	2944	0	2943	1	0	2944,
9858113	atrial natriuretic factor mRNA	9858113	+	0	816	66	510	1	0	816,
49117101	MGC82495 protein	49117101	+	0	1136	79	622	1	0	1136,
51513002	MGC84345 protein	51513002	+	0	1039	280	658	1	0	1039,
20126692	x-kf-1b mRNA for KF-1b	20126692	+	0	2835	416	2429	1	0	2835,
51703911	MGC83799 protein	51703911	+	0	2800	177	1263	1	0	2800,
38014685	hypothetical protein MGC68778	38014685	+	0	3089	135	1893	1	0	3089,
61401997	hypothetical protein MGC85015	61401997	+	0	1779	211	1219	1	0	1779,
51703927	MGC84231 protein	51703927	+	0	1499	72	1209	1	0	1499,
54311321	hypothetical LOC495364	54311321	+	0	1107	161	734	1	0	1107,
49118748	MGC80312 protein	49118748	+	0	1513	213	1227	1	0	1513,
37781021	transporter associated with antigen processing 1 (TAP1) mRNA	37781021	+	0	2956	44	2210	1	0	2956,
49116791	hypothetical protein MGC80719	49116791	+	0	3276	172	1240	1	0	3276,
66910775	hypothetical protein MGC115247	66910775	+	0	2649	78	1932	1	0	2649,
49118442	MGC80921 protein	49118442	+	0	1740	28	1345	1	0	1740,
80478523	hypothetical protein MGC131031	80478523	+	0	2087	111	1749	1	0	2087,
163916109	hypothetical protein LOC100137632	163916109	+	0	1427	158	1298	1	0	1427,
49899138	gephyrin	49899138	+	0	3127	282	2856	1	0	3127,
28385984	dynamin 1-like	28385984	+	0	3059	36	2133	1	0	3059,
189442674	hypothetical protein LOC100174798	189442674	+	0	5649	197	2555	1	0	5649,
38014488	hypothetical protein MGC68734	38014488	+	0	3827	107	3458	1	0	3827,
49255982	MGC80319 protein	49255982	+	0	1624	31	1471	1	0	1624,
51261512	MGC84540 protein	51261512	+	0	1797	195	1365	1	0	1797,
122831053	zyxin mRNA	122831053	+	0	1993	0	1992	1	0	1993,
56270431	NADH-cytochrome b5 reductase 2	56270431	+	0	1458	79	970	1	0	1458,
214028	cdc25 protein mRNA	214028	+	0	2277	54	1854	1	0	2277,
27924340	carnitine palmitoyltransferase II	27924340	+	0	2561	64	2044	1	0	2561,
49258065	MGC84682 protein	49258065	+	0	1251	17	1016	1	0	1251,
120577617	hypothetical protein LOC100037051	120577617	+	0	1726	62	1592	1	0	1726,
124481819	hypothetical protein LOC100037139	124481819	+	0	2041	67	1552	1	0	2041,
56269139	hypothetical LOC495976	56269139	+	0	1295	119	716	1	0	1295,
50414965	MGC80615 protein	50414965	+	0	1819	158	1277	1	0	1819,
125858639	hypothetical protein LOC100037209	125858639	+	0	1666	47	1226	1	0	1666,
62871668	hypothetical protein MGC115188	62871668	+	0	1373	1	1327	1	0	1373,
62740122	hypothetical protein MGC115044	62740122	+	0	1580	162	1353	1	0	1580,
50416336	nemo-like kinase	50416336	+	0	2570	432	1533	1	0	2570,
84105477	hypothetical LOC495463	84105477	+	0	3436	259	2008	1	0	3436,
57033161	hypothetical LOC496344	57033161	+	0	1290	314	1157	1	0	1290,
50418204	MGC79068 protein	50418204	+	0	1871	54	1383	1	0	1871,
32450161	hypothetical protein MGC64389	32450161	+	0	1271	125	1010	1	0	1271,
77748320	hypothetical protein MGC132191	77748320	+	0	1010	42	714	1	0	1010,
49115164	spindle checkpoint protein Xmad1	49115164	+	0	2452	54	2211	1	0	2452,
118835759	hypothetical protein LOC733346	118835759	+	0	1722	61	1501	1	0	1722,
46250329	hypothetical protein LOC398496	46250329	+	0	3001	142	2356	1	0	3001,
47940300	hypothetical protein MGC82425	47940300	+	0	2083	117	723	1	0	2083,
125858543	hypothetical protein LOC100037176	125858543	+	0	2416	37	1873	1	0	2416,
51895841	MGC84311 protein	51895841	+	0	2400	40	1384	1	0	2400,
62132929	cDNA clone MGC:98998 IMAGE:5513759	62132929	+	0	4518	513	4131	1	0	4518,
51949991	MGC81584 protein	51949991	+	0	2731	106	1615	1	0	2731,
49118618	MGC82977 protein	49118618	+	0	1978	67	898	1	0	1978,
83318230	hypothetical protein MGC131293	83318230	+	0	1982	39	1665	1	0	1982,
338161001	xCLCA1 mRNA for calcium activated chloride channel	338161001	+	0	2960	39	2847	1	0	2960,
90819155	SCC2-2 mRNA for Scc2-2A	90819155	+	0	9919	663	9192	1	0	9919,
49256341	MGC84541 protein	49256341	+	0	3307	42	2427	1	0	3307,
49256540	MGC83034 protein	49256540	+	0	2479	42	2124	1	0	2479,
51896025	MGC84583 protein	51896025	+	0	2464	34	970	1	0	2464,
50604069	myelin PLP-related membrane protein DM gamma1	50604069	+	0	2278	38	848	1	0	2278,
117558236	hypothetical protein LOC100036797	117558236	+	0	2647	160	1399	1	0	2647,
117558252	ubiquitin specific protease 3	117558252	+	0	2335	16	1585	1	0	2335,
120538434	hypothetical LOC495188	120538434	+	0	2204	134	1361	1	0	2204,
50417980	MGC80372 protein	50417980	+	0	1133	82	1051	1	0	1133,
32264648	transcription factor LSF (lsf) mRNA	32264648	+	0	1522	0	1521	1	0	1522,
58399162	hypothetical protein MGC85120	58399162	+	0	2264	274	1726	1	0	2264,
80478587	hypothetical protein LOC443638	80478587	+	0	2209	176	2042	1	0	2209,
120538300	hypothetical protein LOC100036953	120538300	+	0	1170	191	1028	1	0	1170,
28703940	phosphorylase	28703940	+	0	4586	110	2642	1	0	4586,
57239846	MTG16b (MTG16) mRNA	57239846	+	0	3430	544	2212	1	0	3430,
47124918	hypothetical protein MGC83720	47124918	+	0	2010	28	1006	1	0	2010,
124481765	hypothetical protein LOC100037155	124481765	+	0	1414	101	326	1	0	1414,
57032735	hypothetical LOC496294	57032735	+	0	3599	119	1247	1	0	3599,
52354632	hypothetical LOC494770	52354632	+	0	4136	59	1148	1	0	4136,
183014377	cdc25Ba mRNA for cdc25B phosphatase	183014377	+	0	1858	95	1784	1	0	1858,
46250168	hypothetical protein MGC83169	46250168	+	0	3725	338	1919	1	0	3725,
974709	(clone TCK) Eph receptor tyrosine kinase mRNA	974709	+	0	4245	172	3097	1	0	4245,
30409359	FCN mRNA for ficolin-1	30409359	+	0	1196	6	933	1	0	1196,
62740100	hypothetical protein MGC114730	62740100	+	0	3374	232	2653	1	0	3374,
50604017	MGC82733 protein	50604017	+	0	2036	15	621	1	0	2036,
77748343	hypothetical protein MGC131165	77748343	+	0	1132	5	773	1	0	1132,
51703566	MGC84331 protein	51703566	+	0	4200	205	3547	1	0	4200,
27371116	surfeit 2	27371116	+	0	957	217	925	1	0	957,
58399491	hypothetical protein MGC84878	58399491	+	0	3834	266	2894	1	0	3834,
38197522	hypothetical protein MGC68533	38197522	+	0	3025	85	2710	1	0	3025,
161611656	hypothetical protein LOC100127312	161611656	+	0	1234	160	433	1	0	1234,
27924344	chaperonin containing TCP1	27924344	+	0	1877	59	1700	1	0	1877,
52221203	nrp-1B	52221203	+	0	2351	48	1071	1	0	2351,
50418083	MGC83647 protein	50418083	+	0	2578	152	1019	1	0	2578,
32766609	protein C	32766609	+	0	1750	35	1403	1	0	1750,
156914801	hypothetical protein LOC100126612	156914801	+	0	1409	285	1251	1	0	1409,
47682581	hypothetical protein MGC82231	47682581	+	0	2917	6	1980	1	0	2917,
27503399	solute carrier family 7 (cationic amino acid transporter	27503399	+	0	2684	90	1947	1	0	2684,
47718047	hypothetical protein MGC82323	47718047	+	0	3018	16	1507	1	0	3018,
120538248	hypothetical protein LOC100036869	120538248	+	0	1554	180	1320	1	0	1554,
49257366	MGC80979 protein	49257366	+	0	2671	34	1447	1	0	2671,
7768635	mRNA for Kielin	7768635	+	0	8138	761	7745	1	0	8138,
62766056	GABA neurotransmitter transporter 1 (SLC6A1) mRNA	62766056	+	0	2452	207	2007	1	0	2452,
47937450	hypothetical protein MGC78774	47937450	+	0	2278	114	1038	1	0	2278,
51703644	MGC81787 protein	51703644	+	0	3348	262	2176	1	0	3348,
80477689	hypothetical protein MGC131327	80477689	+	0	1308	150	1146	1	0	1308,
38014724	hypothetical protein MGC68481	38014724	+	0	1815	101	1400	1	0	1815,
49256069	MGC81887 protein	49256069	+	0	2545	91	2086	1	0	2545,
82619287	class II MHC DM beta mRNA	82619287	+	0	1948	16	802	1	0	1948,
83405224	calcium/calmodulin-dependent protein kinase I alpha	83405224	+	0	2300	123	1257	1	0	2300,
33417064	emopamil binding protein (sterol isomerase)	33417064	+	0	1243	62	752	1	0	1243,
54037934	CTP synthase 1-A	54037934	+	0	4552	101	1877	1	0	4552,
50417731	cytochrome P450	50417731	+	0	1762	189	1707	1	0	1762,
118763665	hypothetical protein LOC443577	118763665	+	0	6113	423	5970	1	0	6113,
3510506	metalloprotease-disintegrin (MDC9) mRNA	3510506	+	0	2994	165	2787	1	0	2994,
32450228	hypothetical protein MGC64456	32450228	+	0	1359	55	937	1	0	1359,
120577449	hypothetical protein LOC100037035	120577449	+	0	1297	77	1046	1	0	1297,
51513384	MGC86306 protein	51513384	+	0	2729	193	1921	1	0	2729,
49523103	MGC81943 protein	49523103	+	0	1873	245	1301	1	0	1873,
122936415	hypothetical protein LOC100037081	122936415	+	0	716	46	481	1	0	716,
448278479	colony stimulating factor-1 mRNA	448278479	+	0	1892	173	950	1	0	1892,
48735065	MGC82599 protein	48735065	+	0	1678	23	680	1	0	1678,
56269158	hypothetical LOC496007	56269158	+	0	1104	115	898	1	0	1104,
62740098	hypothetical protein LOC445846	62740098	+	0	1725	106	1096	1	0	1725,
56270192	hypothetical LOC495966	56270192	+	0	1558	445	1414	1	0	1558,
1314321	gene 17 mRNA	1314321	+	0	1467	96	1170	1	0	1467,
28704122	symplekin	28704122	+	0	3860	129	3738	1	0	3860,
77748130	mediator of RNA polymerase II transcription subunit 7-A	77748130	+	0	1222	43	730	1	0	1222,
62740261	protein tyrosine phosphatase	62740261	+	0	3401	496	2956	1	0	3401,
51704150	MGC86227 protein	51704150	+	0	2758	325	1486	1	0	2758,
47122887	collagen	47122887	+	0	2189	125	1979	1	0	2189,
37805386	hypothetical protein MGC68448	37805386	+	0	3043	57	2475	1	0	3043,
50415343	MGC82654 protein	50415343	+	0	1986	18	1752	1	0	1986,
71051895	Heme transporter hrg1-B	71051895	+	0	1276	32	470	1	0	1276,
49522240	MGC84399 protein	49522240	+	0	2020	267	1782	1	0	2020,
32450564	glutamate-ammonia ligase (glutamine synthase)	32450564	+	0	1581	173	1295	1	0	1581,
28436783	CGI-51 protein	28436783	+	0	1627	31	1438	1	0	1627,
58399159	hypothetical protein MGC85116	58399159	+	0	2131	118	619	1	0	2131,
27469639	oxysterol binding protein-like 2	27469639	+	0	2402	138	1566	1	0	2402,
28277362	similar to cytochrome P450	28277362	+	0	1770	17	1508	1	0	1770,
38174464	ephrin receptor EphA2 (tyrosine kinase family)	38174464	+	0	4935	185	1784	1	0	4935,
49615336	NK-2 class homeodomain protein (Nkx2.5) mRNA	49615336	+	0	904	0	903	1	0	904,
49115422	MGC80780 protein	49115422	+	0	1985	456	1923	1	0	1985,
49115564	MGC80988 protein	49115564	+	0	1819	222	1677	1	0	1819,
3150272	C-cadherin mRNA	3150272	+	0	3451	0	2643	1	0	3451,
49257205	autophagy protein 5	49257205	+	0	1558	195	1116	1	0	1558,
28422726	similar to chromosome 21 open reading frame 18	28422726	+	0	2937	197	1568	1	0	2937,
295523	achaete-scute protein homologue (ASH1) mRNA	295523	+	0	1698	168	768	1	0	1698,
80476816	hypothetical protein MGC80064	80476816	+	0	2275	115	2044	1	0	2275,
1654113	neurotrophin-3 mRNA	1654113	+	0	830	0	783	1	0	830,
49114939	MGC80147 protein	49114939	+	0	1686	57	1497	1	0	1686,
49256274	MGC84170 protein	49256274	+	0	4655	331	898	1	0	4655,
50927477	MGC86516 protein	50927477	+	0	2870	63	1059	1	0	2870,
148540780	NK6 transcription factor related locus 3 (nkx6-3) mRNA	148540780	+	0	1437	419	1184	1	0	1437,
49904135	MGC84638 protein	49904135	+	0	1926	76	589	1	0	1926,
54648659	hypothetical LOC495460	54648659	+	0	5379	246	4578	1	0	5379,
61403480	hypothetical protein MGC85021	61403480	+	0	1905	326	1283	1	0	1905,
28277283	galactokinase 2	28277283	+	0	3118	17	1400	1	0	3118,
120538443	hypothetical protein LOC100036941	120538443	+	0	2057	186	1215	1	0	2057,
305387460	T-box 18 protein (tbx18) mRNA	305387460	+	0	2039	175	1909	1	0	2039,
120538001	hypothetical protein LOC100036917	120538001	+	0	1268	107	980	1	0	1268,
54648188	similar to intergral membrane protein 1	54648188	+	0	2428	59	2177	1	0	2428,
169642027	hypothetical protein LOC100158322	169642027	+	0	3008	44	2411	1	0	3008,
161611712	hypothetical protein LOC100127289	161611712	+	0	1678	22	1234	1	0	1678,
557061	cartilage homeoprotein 1 precursor (Xcart1) mRNA	557061	+	0	1275	97	1105	1	0	1275,
27924429	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein	27924429	+	0	2190	100	868	1	0	2190,
28436898	similar to splicing factor	28436898	+	0	3367	20	2024	1	0	3367,
49257861	MGC84150 protein	49257861	+	0	2721	322	796	1	0	2721,
3885952	clone 2 amelogenin mRNA	3885952	+	0	755	45	600	1	0	755,
49257329	MGC82727 protein	49257329	+	0	1468	11	1073	1	0	1468,
339792782	Kruppel-like factor 4 (Klf4) mRNA	339792782	+	0	1394	139	1354	1	0	1394,
57032696	hypothetical LOC496328	57032696	+	0	1756	95	1283	1	0	1756,
