# these clusters are supported by 3P tags from at least two unique RNA molecules
# either from a single library with unique reads in the cluster, or multiple libraries
# cluster start and end coordinates are the largest and smallest coordinate of 3' ends from 3P tags that mapped within that cluster.
# coordinates are 0-based in WS190/ce6
#entrezGeneId	lib	chr	start	end	cleavageSite	readNum	sense	phase	refSeqs(comma_separated)
171751	all	chrI	1841881	1841881	1841881	1.0	+	.	NM_001026403,NM_170806
173171	all	chrI	12978616	12978632	12978626	90.0	+	.	NM_001025880,NM_001025881
171985	all	chrI	3986547	3986547	3986547	1.0	+	.	NM_058880
172111	all	chrI	4928964	4928964	4928964	14.0	+	.	NM_059077,NM_182065
172144	all	chrI	5123967	5123971	5123971	22.0	+	.	NM_001026547,NM_001026548
259368	all	chrI	2034171	2034181	2034171	10.0	+	.	NM_058516
172044	all	chrI	4446495	4446501	4446495	46.0	+	.	NM_058969
171864	all	chrI	2925756	2925758	2925758	2.0	+	.	NM_058674
185193	all	chrI	11527796	11527796	11527796	7.0	+	.	NM_001026269,NM_001026270
172444	all	chrI	7098174	7098174	7098174	1.0	+	.	NM_059608
172263	all	chrI	5902118	5902128	5902119	594.0	+	.	NM_059308
171700	all	chrI	1254708	1254724	1254714	27.0	+	.	NM_058433
172627	all	chrI	8416184	8416195	8416187	499.0	+	.	NM_059882
186863	all	chrI	9745887	9745889	9745888	22.0	+	.	NM_060188
172535	all	chrI	7704588	7704588	7704588	1.0	+	.	NM_059745
172740	all	chrI	9157454	9157454	9157454	1.0	+	.	NM_060053
171787	all	chrI	2302816	2302825	2302821	2133.0	+	.	NM_058554
172759	all	chrI	9330824	9330842	9330833	246.0	+	.	NM_001128947,NM_060085
172013	all	chrI	4189923	4189929	4189929	49.0	+	.	NM_001136282,NM_058922,NM_170849,NM_170850
173310	all	chrI	14476900	14476903	14476903	31.0	+	.	NM_001129058,NM_170949
173365	all	chrI	14965522	14965528	14965528	6.0	+	.	NM_061209
171966	all	chrI	3870114	3870126	3870123	50.0	+	.	NM_058845
172565	all	chrI	7940225	7940227	7940227	2.0	+	.	NM_059788
173144	all	chrI	12741016	12741027	12741018	24.0	+	.	NM_060830
172422	all	chrI	6929627	6929642	6929634	484.0	+	.	NM_059575
173198	all	chrI	13308771	13308778	13308771	61.0	+	.	NM_060940
171729	all	chrI	1655458	1655460	1655460	8.0	+	.	NM_058475
171956	all	chrI	3826344	3826345	3826345	3.0	+	.	NM_058832
173353	all	chrI	14821621	14821621	14821621	7.0	+	.	NM_061184,NM_061185
172342	all	chrI	6409227	6409230	6409230	2.0	+	.	NM_059445
171768	all	chrI	2072581	2072581	2072581	2.0	+	.	NM_058528
172439	all	chrI	7070696	7070698	7070696	23.0	+	.	NM_059601
172973	all	chrI	10710362	10710370	10710365	257.0	+	.	NM_060403
172519	all	chrI	7612867	7612869	7612867	3.0	+	.	NM_001025903,NM_170901
171763	all	chrI	2064813	2064819	2064813	6.0	+	.	NM_058522
172743	all	chrI	9164287	9164287	9164287	2.0	+	.	NM_060056
171736	all	chrI	1740653	1740667	1740663	32.0	+	.	NM_001026647,NM_058485
172041	all	chrI	4401966	4401975	4401972	12.0	+	.	NM_058962
191860	all	chrI	6298011	6298014	6298014	3.0	+	.	NM_059415
183124	all	chrI	5235269	5235279	5235277	53.0	+	.	NM_059146
171642	all	chrI	509070	509070	509070	2.0	+	.	NM_058341
172884	all	chrI	10184533	10184534	10184534	4.0	+	.	NM_001025836
6418611	all	chrI	3565015	3565032	3565025	445.0	+	.	NM_001129069
171804	all	chrI	2437872	2437873	2437873	9.0	+	.	NM_058577
172300	all	chrI	6157399	6157399	6157399	3.0	+	.	NM_059373,NM_182036
172596	all	chrI	8106241	8106241	8106241	3.0	+	.	NM_001025822,NM_001025823
183194	all	chrI	8336173	8336181	8336176	8.0	+	.	NM_059864
172062	all	chrI	4585800	4585800	4585800	516.0	+	.	NM_058998
172317	all	chrI	6249778	6249780	6249780	3.0	+	.	NM_059401
173206	all	chrI	13387062	13387078	13387070	1007.0	+	.	NM_060954
185226	all	chrI	5843980	5843990	5843980	123.0	+	.	NM_059293
172639	all	chrI	8497554	8497554	8497554	4.0	+	.	NM_059902
172851	all	chrI	9953374	9953385	9953375	825.0	+	.	NM_001026468,NM_001026469
173354	all	chrI	14829673	14829676	14829673	3.0	+	.	NM_061186
172897	all	chrI	10300608	10300618	10300608	45.0	+	.	NM_001047219,NM_001047220,NM_001047221
171625	all	chrI	348356	348364	348359	103.0	+	.	NM_058320
172509	all	chrI	7567419	7567419	7567419	4.0	+	.	NM_059714
172044	all	chrI	4446598	4446608	4446599	70.0	+	.	NM_058969
172856	all	chrI	9970119	9970130	9970126	32.0	+	.	NM_060234
172602	all	chrI	8208724	8208725	8208724	22.0	+	.	NM_001025916,NM_001128973,NM_059833,NM_181991,NM_181992
188773	all	chrI	6711288	6711294	6711294	2.0	+	.	NM_059520
172033	all	chrI	4308242	4308254	4308244	1536.0	+	.	NM_058948,NM_058949
172695	all	chrI	8821367	8821367	8821367	1.0	+	.	NM_059984,NM_182068
182722	all	chrI	11602996	11602996	11602996	2.0	+	.	NM_060557
172280	all	chrI	6033471	6033471	6033471	1.0	+	.	NM_001025782,NM_001025783,NM_001025784,NM_001025785,NM_059340
171798	all	chrI	2409996	2409996	2409996	1.0	+	.	NM_058570
173262	all	chrI	13980123	13980133	13980125	321.0	+	.	NM_061038
172556	all	chrI	7872080	7872092	7872082	121.0	+	.	NM_001026416,NM_001026417,NM_001026418,NM_001026419
189049	all	chrI	3631074	3631083	3631076	882.0	+	.	NM_058788
171647	all	chrI	542202	542210	542202	738.0	+	.	NM_170794,NM_171831
173051	all	chrI	11680964	11680967	11680964	80.0	+	.	NM_001025929,NM_060573
172147	all	chrI	5134094	5134094	5134094	3.0	+	.	NM_059128,NM_059129
189588	all	chrI	1049462	1049472	1049472	46.0	+	.	NM_058410
172665	all	chrI	8659909	8659918	8659916	300.0	+	.	NM_059943
173164	all	chrI	12953961	12953969	12953969	2.0	+	.	NM_060863
173220	all	chrI	13491068	13491068	13491068	3.0	+	.	NM_060970
171735	all	chrI	1715494	1715509	1715503	218.0	+	.	NM_058484,NM_182058
172236	all	chrI	5722262	5722262	5722262	5.0	+	.	NM_059267
260266	all	chrI	5101716	5101716	5101716	1.0	+	.	NM_170856
173097	all	chrI	12188927	12188929	12188927	29.0	+	.	NM_060677
172327	all	chrI	6297432	6297442	6297438	18.0	+	.	NM_059414,NM_170878,NM_170879
182446	all	chrI	5493255	5493274	5493265	2460.0	+	.	NM_059210
172518	all	chrI	7602193	7602201	7602197	398.0	+	.	NM_059723,NM_059724
173342	all	chrI	14760551	14760558	14760558	8.0	+	.	NM_061170
189404	all	chrI	3748271	3748275	3748275	2.0	+	.	NM_001047249,NM_001047250
172681	all	chrI	8736965	8736965	8736965	4.0	+	.	NM_059963
189170	all	chrI	4964382	4964395	4964385	52.0	+	.	NM_059087
171656	all	chrI	658763	658763	658763	3.0	+	.	NM_058364
186441	all	chrI	6562683	6562683	6562683	8.0	+	.	NM_059490
172496	all	chrI	7408502	7408502	7408502	1.0	+	.	NM_059691
172528	all	chrI	7682823	7682823	7682823	4.0	+	.	NM_059737,NM_059738
182506	all	chrI	6294058	6294058	6294058	1.0	+	.	NM_059413
172517	all	chrI	7594820	7594830	7594827	83.0	+	.	NM_059722
171719	all	chrI	1556125	1556128	1556125	6.0	+	.	NM_058464
172111	all	chrI	4929088	4929093	4929088	14.0	+	.	NM_059077,NM_182065
190263	all	chrI	3008357	3008359	3008359	4.0	+	.	NM_058685
172123	all	chrI	5003131	5003131	5003131	6.0	+	.	NM_001026321,NM_001026322
172435	all	chrI	7050006	7050011	7050011	2.0	+	.	NM_059596
171783	all	chrI	2285131	2285132	2285132	28.0	+	.	NM_058550
173260	all	chrI	13952782	13952786	13952783	23.0	+	.	NM_061034
172909	all	chrI	10371680	10371689	10371680	137.0	+	.	NM_001026294,NM_001026295
171594	all	chrI	54419	54430	54424	910.0	+	.	NM_058265
171865	all	chrI	2929408	2929423	2929414	21.0	+	.	NM_058675
187319	all	chrI	11034063	11034063	11034063	7.0	+	.	NM_072208
173149	all	chrI	12825440	12825445	12825440	46.0	+	.	NM_060842
173260	all	chrI	13953490	13953499	13953490	78.0	+	.	NM_061034
171915	all	chrI	3478108	3478112	3478108	5.0	+	.	NM_058764
189992	all	chrI	3536832	3536832	3536832	1.0	+	.	NM_058774,NM_182006
190786	all	chrI	1359640	1359650	1359642	227.0	+	.	NM_170800
172639	all	chrI	8495824	8495844	8495834	1947.0	+	.	NM_059902
171633	all	chrI	412920	412924	412920	35.0	+	.	NM_058329
184957	all	chrI	6312411	6312421	6312415	96.0	+	.	NM_059421
188316	all	chrI	6168635	6168648	6168645	1118.0	+	.	NM_059377
190600	all	chrI	1708558	1708558	1708558	5.0	+	.	NM_058483
171897	all	chrI	3233265	3233280	3233273	9.0	+	.	NM_058726
186446	all	chrI	4847564	4847564	4847564	3.0	+	.	NM_059061
173365	all	chrI	14965442	14965443	14965443	5.0	+	.	NM_061209
172503	all	chrI	7492945	7492949	7492945	30.0	+	.	NM_059701
182018	all	chrI	10631674	10631674	10631674	1.0	+	.	NM_060379
172243	all	chrI	5788565	5788565	5788565	7.0	+	.	NM_059278
172388	all	chrI	6719443	6719443	6719443	1.0	+	.	NM_001129049,NM_059522
187613	all	chrI	8598543	8598548	8598544	242.0	+	.	NM_059924
172030	all	chrI	4271169	4271173	4271173	8.0	+	.	NM_058943
172624	all	chrI	8398568	8398570	8398570	66.0	+	.	NM_001026450,NM_059874,NM_059875
172692	all	chrI	8814923	8814930	8814923	16.0	+	.	NM_059982
3565589	all	chrI	8019679	8019679	8019679	5.0	+	.	NM_059805
171655	all	chrI	653982	653992	653992	113.0	+	.	NM_058362
171852	all	chrI	2870163	2870170	2870167	308.0	+	.	NM_058658
173174	all	chrI	12995454	12995469	12995462	1489.0	+	.	NM_060877
172422	all	chrI	6929688	6929692	6929692	10.0	+	.	NM_059575
172406	all	chrI	6834682	6834682	6834682	3.0	+	.	NM_059552
172864	all	chrI	10030057	10030057	10030057	2.0	+	.	NM_060249
6418588	all	chrI	9476939	9476949	9476940	69.0	+	.	NM_001128994
172990	all	chrI	10835058	10835059	10835059	5.0	+	.	NM_060430
172050	all	chrI	4458701	4458701	4458701	1.0	+	.	NM_058974
172949	all	chrI	10593866	10593867	10593866	11.0	+	.	NM_060371,NM_182049
189156	all	chrI	2797465	2797466	2797466	4.0	+	.	NM_058647
171875	all	chrI	3028445	3028445	3028445	3.0	+	.	NM_058690
173333	all	chrI	14719012	14719019	14719013	2426.0	+	.	NM_061155,NM_061156
172219	all	chrI	5620550	5620563	5620555	6.0	+	.	NM_059244
3565793	all	chrI	206404	206414	206414	4.0	+	.	NM_058292
172565	all	chrI	7940399	7940412	7940403	542.0	+	.	NM_059788
172236	all	chrI	5722309	5722309	5722309	4.0	+	.	NM_059267
171645	all	chrI	535293	535298	535293	35.0	+	.	NM_058347
186950	all	chrI	3433170	3433174	3433174	2.0	+	.	NM_058758
171710	all	chrI	1441982	1441992	1441992	3.0	+	.	NM_058453
183125	all	chrI	5200270	5200273	5200273	8.0	+	.	NM_059143
3565150	all	chrI	13511892	13511905	13511897	7.0	+	.	NM_001026664
172062	all	chrI	4586167	4586186	4586177	37731.0	+	.	NM_058998
266833	all	chrI	5706902	5706902	5706902	2.0	+	.	NM_059265
173348	all	chrI	14794381	14794397	14794389	216.0	+	.	NM_061178
173116	all	chrI	12486450	12486450	12486450	30.0	+	.	NM_060766
353387	all	chrI	12972297	12972305	12972297	68.0	+	.	NM_060872
172937	all	chrI	10546404	10546407	10546404	26.0	+	.	NM_060357
172041	all	chrI	4401987	4401992	4401987	3.0	+	.	NM_058962
171693	all	chrI	1162902	1162902	1162902	58.0	+	.	NM_058426
172737	all	chrI	9135735	9135754	9135745	1901.0	+	.	NM_060048
172868	all	chrI	10048001	10048001	10048001	1.0	+	.	NM_060252
171783	all	chrI	2281264	2281264	2281264	2.0	+	.	NM_058550
171913	all	chrI	3442098	3442103	3442103	4.0	+	.	NM_058760
172930	all	chrI	10505892	10505901	10505900	6.0	+	.	NM_060345
171749	all	chrI	1834757	1834771	1834762	6729.0	+	.	NM_001025889,NM_170804,NM_170805
189085	all	chrI	3293173	3293179	3293179	5.0	+	.	NM_058737
172971	all	chrI	10696685	10696693	10696691	132.0	+	.	NM_060401
181834	all	chrI	5967211	5967212	5967212	24.0	+	.	NM_059321
172319	all	chrI	6253531	6253535	6253535	2.0	+	.	NM_182035
172032	all	chrI	4302254	4302260	4302260	4.0	+	.	NM_058947,NM_182054
172009	all	chrI	4177222	4177228	4177226	86.0	+	.	NM_058918
172168	all	chrI	5268415	5268417	5268417	7.0	+	.	NM_059152
172340	all	chrI	6405718	6405718	6405718	1.0	+	.	NM_059443
190263	all	chrI	3005758	3005760	3005760	2.0	+	.	NM_058685
173123	all	chrI	12534218	12534226	12534226	9.0	+	.	NM_060776
172832	all	chrI	9790089	9790098	9790091	14.0	+	.	NM_060200
171811	all	chrI	2505799	2505803	2505799	3.0	+	.	NM_058589
172108	all	chrI	4911819	4911838	4911829	1523.0	+	.	NM_059074
172430	all	chrI	6977052	6977052	6977052	1.0	+	.	NM_059588
172585	all	chrI	8032877	8032888	8032881	870.0	+	.	NM_059809
3565555	all	chrI	3255567	3255583	3255576	23.0	+	.	NM_058727
187967	all	chrI	8275706	8275706	8275706	70.0	+	.	NM_059850
171755	all	chrI	1850476	1850478	1850476	4.0	+	.	NM_058508
172807	all	chrI	9632388	9632396	9632391	445.0	+	.	NM_060157
172651	all	chrI	8600921	8600933	8600931	45.0	+	.	NM_059925
172943	all	chrI	10568961	10568971	10568971	3.0	+	.	NM_060365
172032	all	chrI	4302187	4302191	4302187	24.0	+	.	NM_058947,NM_182054
172975	all	chrI	10723537	10723540	10723540	2.0	+	.	NM_060405
172663	all	chrI	8646294	8646300	8646296	366.0	+	.	NM_059941
172511	all	chrI	7578416	7578426	7578418	42.0	+	.	NM_001025905,NM_001025906
172690	all	chrI	8801631	8801633	8801633	14.0	+	.	NM_059977
171986	all	chrI	3988673	3988678	3988678	18.0	+	.	NM_058881
172209	all	chrI	5561691	5561691	5561691	3.0	+	.	NM_001047214,NM_001129022,NM_001129023,NM_059222,NM_059225,NM_170866
171874	all	chrI	3021541	3021542	3021542	12.0	+	.	NM_058689
172901	all	chrI	10331635	10331646	10331641	16.0	+	.	NM_060307
172978	all	chrI	10736594	10736610	10736603	889.0	+	.	NM_060410
182726	all	chrI	9433811	9433825	9433819	849.0	+	.	NM_060105
173220	all	chrI	13491100	13491115	13491107	57.0	+	.	NM_060970
171676	all	chrI	941586	941590	941586	3.0	+	.	NM_058393
172184	all	chrI	5365183	5365183	5365183	2.0	+	.	NM_059175
171769	all	chrI	2076209	2076224	2076217	13.0	+	.	NM_058529
171865	all	chrI	2929629	2929644	2929636	533.0	+	.	NM_058675
171638	all	chrI	489882	489887	489882	5.0	+	.	NM_058337
184957	all	chrI	6312337	6312337	6312337	2.0	+	.	NM_059421
173175	all	chrI	13004318	13004321	13004318	64.0	+	.	NM_060878
178536	all	chrV	6535	6535	6535	1.0	-	.	NM_070722,NM_070723,NM_171920
172414	all	chrI	6857516	6857516	6857516	1.0	+	.	NM_059562
172234	all	chrI	5697602	5697606	5697603	14.0	+	.	NM_059264
187319	all	chrI	11172439	11172448	11172440	1509.0	+	.	NM_072208
171707	all	chrI	1425128	1425131	1425131	9.0	+	.	NM_001037901,NM_001037902
171875	all	chrI	3021777	3021784	3021777	3.0	+	.	NM_058690
3565969	all	chrI	3604541	3604546	3604541	11.0	+	.	NM_001026596
172451	all	chrI	7134320	7134328	7134328	9.0	+	.	NM_059618
172393	all	chrI	6741466	6741466	6741466	2.0	+	.	NM_059530
186950	all	chrI	3433225	3433228	3433228	2.0	+	.	NM_058758
171956	all	chrI	3826526	3826536	3826531	23.0	+	.	NM_058832
171939	all	chrI	3699285	3699285	3699285	18.0	+	.	NM_058802
182630	all	chrI	12212679	12212682	12212679	16.0	+	.	NM_060681
172326	all	chrI	6289331	6289347	6289339	2971.0	+	.	NM_059412
173171	all	chrI	12978529	12978529	12978529	1.0	+	.	NM_001025880,NM_001025881
173118	all	chrI	12494515	12494528	12494519	2110.0	+	.	NM_060768
172294	all	chrI	6104160	6104160	6104160	8.0	+	.	NM_059361
173125	all	chrI	12552358	12552369	12552361	538.0	+	.	NM_060779
172516	all	chrI	7590554	7590568	7590559	342.0	+	.	NM_059721
185336	all	chrI	8813283	8813300	8813290	93.0	+	.	NM_059981
171949	all	chrI	3788394	3788398	3788398	2.0	+	.	NM_001025846,NM_001025847
172131	all	chrI	5052514	5052514	5052514	1.0	+	.	NM_059109
173080	all	chrI	12002567	12002582	12002575	18.0	+	.	NM_060635
172327	all	chrI	6297580	6297588	6297588	9.0	+	.	NM_059414,NM_170878,NM_170879
171911	all	chrI	3416356	3416372	3416366	717.0	+	.	NM_001026366
189770	all	chrI	2350528	2350528	2350528	4.0	+	.	NM_058565
172782	all	chrI	9511084	9511087	9511087	7.0	+	.	NM_060123
188139	all	chrI	9647658	9647668	9647663	29.0	+	.	NM_060161
172520	all	chrI	7628967	7628971	7628971	5.0	+	.	NM_059726
192065	all	chrI	8928874	8928874	8928874	4.0	+	.	NM_060003
173238	all	chrI	13669868	13669869	13669869	2.0	+	.	NM_060995
173004	all	chrI	11034037	11034047	11034040	1515.0	+	.	NM_060458
172503	all	chrI	7492897	7492912	7492905	85.0	+	.	NM_059701
172585	all	chrI	8032734	8032737	8032735	5.0	+	.	NM_059809
173304	all	chrI	14417906	14417906	14417906	2.0	+	.	NM_170941
172599	all	chrI	8135043	8135054	8135044	3981.0	+	.	NM_059828
188127	all	chrI	6200817	6200817	6200817	6.0	+	.	NM_059385
173134	all	chrI	12654220	12654226	12654226	2.0	+	.	NM_001026355,NM_001026356,NM_001026357,NM_001026358
189992	all	chrI	3539273	3539273	3539273	2.0	+	.	NM_058774,NM_182006
3565560	all	chrI	14002969	14002969	14002969	1.0	+	.	NM_001026633
173238	all	chrI	13674965	13674965	13674965	15.0	+	.	NM_060995
6418573	all	chrI	10179586	10179586	10179586	4.0	+	.	NM_001128951
172300	all	chrI	6157452	6157456	6157456	12.0	+	.	NM_059373,NM_182036
172437	all	chrI	7059121	7059123	7059123	5.0	+	.	NM_001026475,NM_001026476,NM_001129054
3565407	all	chrI	14937373	14937373	14937373	45.0	+	.	NM_061204,NM_061205,NM_170958,NM_170959,NM_170960,NM_170961,NM_170962,NM_170963,NM_170964,NM_170965,NM_170966,NM_170967,NM_170968
182280	all	chrI	6022588	6022591	6022588	4.0	+	.	NM_059338
266820	all	chrI	1341089	1341094	1341094	4.0	+	.	NM_058441
172604	all	chrI	8217749	8217749	8217749	2.0	+	.	NM_059837,NM_059838
173243	all	chrI	13778760	13778768	13778761	684.0	+	.	NM_001026581,NM_001026582
171769	all	chrI	2076374	2076378	2076378	29.0	+	.	NM_058529
189588	all	chrI	1049478	1049493	1049484	98.0	+	.	NM_058410
3565164	all	chrI	11268459	11268468	11268468	7.0	+	.	NM_001026281
172503	all	chrI	7492920	7492936	7492926	14279.0	+	.	NM_059701
172327	all	chrI	6297627	6297644	6297637	205.0	+	.	NM_059414,NM_170878,NM_170879
171775	all	chrI	2144378	2144380	2144380	4.0	+	.	NM_001026574,NM_001026575
172832	all	chrI	9789956	9789964	9789958	322.0	+	.	NM_060200
172803	all	chrI	9622330	9622330	9622330	2.0	+	.	NM_001129042,NM_060152
172445	all	chrI	7107632	7107639	7107632	4.0	+	.	NM_059612
172317	all	chrI	6249559	6249562	6249562	3.0	+	.	NM_059401
172184	all	chrI	5365167	5365181	5365172	94.0	+	.	NM_059175
6418611	all	chrI	3565008	3565008	3565008	1.0	+	.	NM_001129069
172620	all	chrI	8341789	8341793	8341793	2.0	+	.	NM_059865
172033	all	chrI	4308269	4308269	4308269	10.0	+	.	NM_058948,NM_058949
187758	all	chrI	6421895	6421898	6421895	7.0	+	.	NM_059447
172253	all	chrI	5834565	5834574	5834568	34.0	+	.	NM_059290,NM_182017
171707	all	chrI	1424750	1424754	1424754	2.0	+	.	NM_001037901,NM_001037902
266837	all	chrI	6585232	6585238	6585238	25.0	+	.	NM_059496
183056	all	chrI	6991948	6991951	6991951	5.0	+	.	NM_059589
173145	all	chrI	12749399	12749403	12749399	4.0	+	.	NM_001026477
171763	all	chrI	2064642	2064642	2064642	1.0	+	.	NM_058522
172867	all	chrI	10032996	10033002	10033002	21.0	+	.	NM_060251
173310	all	chrI	14477914	14477917	14477916	17.0	+	.	NM_001129058,NM_170949
186950	all	chrI	3433207	3433210	3433207	14.0	+	.	NM_058758
172099	all	chrI	4829791	4829803	4829794	1906.0	+	.	NM_059057
184548	all	chrI	12162152	12162164	12162156	36.0	+	.	NM_060672
173141	all	chrI	12729825	12729830	12729825	18.0	+	.	NM_060827
245994	all	chrI	1922985	1922992	1922985	21.0	+	.	NM_170808
185715	all	chrI	8611011	8611015	8611011	59.0	+	.	NM_001129003,NM_001129004
173323	all	chrI	14661392	14661410	14661400	2726.0	+	.	NM_061144
171692	all	chrI	1157483	1157503	1157493	513.0	+	.	NM_170799,NM_171832
172668	all	chrI	8666550	8666550	8666550	3.0	+	.	NM_059945
259388	all	chrI	8868351	8868352	8868352	2.0	+	.	NM_182089
171970	all	chrI	3880877	3880885	3880877	10.0	+	.	NM_058849
172128	all	chrI	5041142	5041142	5041142	1.0	+	.	NM_001025876,NM_001025877,NM_001025878
172612	all	chrI	8296912	8296919	8296913	14.0	+	.	NM_059856,NM_181993
172901	all	chrI	10331699	10331709	10331709	5.0	+	.	NM_060307
173316	all	chrI	14551745	14551747	14551747	3.0	+	.	NM_001026514,NM_001026515
172497	all	chrI	7453866	7453870	7453870	2.0	+	.	NM_001026700,NM_001026701,NM_001026702,NM_001026703
172280	all	chrI	6029768	6029768	6029768	2.0	+	.	NM_001025782,NM_001025783,NM_001025784,NM_001025785,NM_059340
171710	all	chrI	1442269	1442269	1442269	18.0	+	.	NM_058453
190261	all	chrI	3210273	3210273	3210273	14.0	+	.	NM_058721
173220	all	chrI	13491213	13491225	13491215	437.0	+	.	NM_060970
172572	all	chrI	7960001	7960015	7960007	162.0	+	.	NM_059794
172563	all	chrI	7938368	7938376	7938371	20.0	+	.	NM_059786
173233	all	chrI	13633500	13633502	13633502	4.0	+	.	NM_060987
173120	all	chrI	12507508	12507511	12507508	3.0	+	.	NM_060772
172790	all	chrI	9558068	9558071	9558068	4.0	+	.	NM_060133
172123	all	chrI	5003003	5003006	5003006	2.0	+	.	NM_001026321,NM_001026322
171884	all	chrI	3109535	3109539	3109538	35.0	+	.	NM_001025871,NM_001025872
191510	all	chrI	13240839	13240849	13240849	3.0	+	.	NM_060921
172509	all	chrI	7567647	7567647	7567647	1.0	+	.	NM_059714
