Database of representative transcript models for protein-coding genes in S. pombe and for the poly(A)-tail length standards.
Transcript models are from Pombase.
Coordinates of S. pombe genes are based on the ASM294v2.21 genome assembly.
TranscriptID	TranscriptID	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
SPAC1071.01c.1	SPAC1071.01c.1	chr1	-	3855384	3857994	3855779	3857792	1	3855384,	3857994,
SPAC1071.02.1	SPAC1071.02.1	chr1	+	3858240	3861822	3858422	3861679	5	3858240,3858934,3859123,3859272,3861630,	3858891,3859077,3859227,3861564,3861822,
SPAC1071.03c.1	SPAC1071.03c.1	chr1	-	3860906	3862735	3861718	3862735	1	3860906,	3862735,
SPAC1071.04c.1	SPAC1071.04c.1	chr1	-	3863000	3863504	3863000	3863504	1	3863000,	3863504,
SPAC1071.05.1	SPAC1071.05.1	chr1	+	3864466	3866158	3864522	3865542	1	3864466,	3866158,
SPAC1071.06.1	SPAC1071.06.1	chr1	+	3866535	3868410	3866587	3868159	1	3866535,	3868410,
SPAC1071.07c.1	SPAC1071.07c.1	chr1	-	3868309	3869076	3868495	3868960	1	3868309,	3869076,
SPAC1071.08.1	SPAC1071.08.1	chr1	+	3869081	3869610	3869144	3869571	2	3869081,3869547,	3869453,3869610,
SPAC1071.09c.1	SPAC1071.09c.1	chr1	-	3869016	3871602	3870659	3871508	1	3869016,	3871602,
SPAC1071.10c.1	SPAC1071.10c.1	chr1	-	3871641	3876176	3871919	3874679	1	3871641,	3876176,
SPAC1071.11.1	SPAC1071.11.1	chr1	+	3882009	3884256	3882526	3883261	1	3882009,	3884256,
SPAC1071.12c.1	SPAC1071.12c.1	chr1	-	3883444	3884346	3883620	3884091	1	3883444,	3884346,
SPAC1071.13.1	SPAC1071.13.1	chr1	+	3878006	3881812	3881344	3881662	1	3878006,	3881812,
SPAC1093.01.1	SPAC1093.01.1	chr1	+	4606298	4611737	4607631	4611417	1	4606298,	4611737,
SPAC1093.02.1	SPAC1093.02.1	chr1	+	4612098	4613297	4612130	4612826	1	4612098,	4613297,
SPAC1093.03.1	SPAC1093.03.1	chr1	+	4613442	4617157	4613626	4616331	5	4613442,4613722,4614151,4614437,4614995,	4613686,4614081,4614378,4614954,4617157,
SPAC1093.04c.1	SPAC1093.04c.1	chr1	-	4613714	4618620	4616461	4618140	5	4613714,4616667,4617352,4617996,4618359,	4616623,4617281,4617935,4618297,4618620,
SPAC1093.05.1	SPAC1093.05.1	chr1	+	4619602	4622351	4619692	4621900	1	4619602,	4622351,
SPAC1093.06c.1	SPAC1093.06c.1	chr1	-	4622165	4635111	4622165	4634756	1	4622165,	4635111,
SPAC1093.07.1	SPAC1093.07.1	chr1	-	4604879	4606871	4605906	4606143	1	4604879,	4606871,
SPAC10F6.01c.1	SPAC10F6.01c.1	chr1	-	1200915	1206090	1201076	1205498	1	1200915,	1206090,
SPAC10F6.02c.1	SPAC10F6.02c.1	chr1	-	1206811	1210630	1206924	1210484	2	1206811,1210411,	1210358,1210630,
SPAC10F6.03c.1	SPAC10F6.03c.1	chr1	-	1211194	1213553	1211445	1213468	2	1211194,1212204,	1211984,1213553,
SPAC10F6.04.1	SPAC10F6.04.1	chr1	+	1213254	1216120	1213725	1214781	2	1213254,1213548,	1213504,1216120,
SPAC10F6.05c.1	SPAC10F6.05c.1	chr1	-	1214787	1217067	1215120	1215928	3	1214787,1215722,1215901,	1215638,1215861,1217067,
SPAC10F6.06.1	SPAC10F6.06.1	chr1	+	1217076	1218228	1217170	1217944	1	1217076,	1218228,
SPAC10F6.07c.1	SPAC10F6.07c.1	chr1	-	1218320	1218887	1218320	1218887	1	1218320,	1218887,
SPAC10F6.08c.1	SPAC10F6.08c.1	chr1	-	1219666	1220847	1219666	1220797	3	1219666,1220494,1220754,	1220440,1220703,1220847,
SPAC10F6.09c.1	SPAC10F6.09c.1	chr1	-	1220968	1224862	1221208	1224836	2	1220968,1224821,	1224778,1224862,
SPAC10F6.10.1	SPAC10F6.10.1	chr1	+	1225463	1227365	1225598	1227279	3	1225463,1225810,1226038,	1225725,1225936,1227365,
SPAC10F6.11c.1	SPAC10F6.11c.1	chr1	-	1226089	1228894	1227415	1228651	1	1226089,	1228894,
SPAC10F6.12c.1	SPAC10F6.12c.1	chr1	-	1229094	1230361	1229359	1230070	1	1229094,	1230361,
SPAC10F6.13c.1	SPAC10F6.13c.1	chr1	-	1230639	1232155	1230787	1232017	1	1230639,	1232155,
SPAC10F6.14c.1	SPAC10F6.14c.1	chr1	-	1232261	1234076	1232315	1233923	1	1232261,	1234076,
SPAC10F6.15.1	SPAC10F6.15.1	chr1	+	1235600	1237035	1235666	1236965	1	1235600,	1237035,
SPAC10F6.16.1	SPAC10F6.16.1	chr1	+	1238895	1240185	1238895	1239424	3	1238895,1239024,1239172,	1238979,1239108,1240185,
SPAC10F6.17c.1	SPAC10F6.17c.1	chr1	-	1239970	1241970	1240320	1241655	1	1239970,	1241970,
SPAC110.01.1	SPAC110.01.1	chr1	+	1905754	1911747	1908267	1911339	1	1905754,	1911747,
SPAC110.02.1	SPAC110.02.1	chr1	+	1911835	1915897	1912041	1915659	1	1911835,	1915897,
SPAC110.03.1	SPAC110.03.1	chr1	+	1916053	1917656	1916107	1917279	3	1916053,1916318,1916817,	1916155,1916387,1917656,
SPAC110.04c.1	SPAC110.04c.1	chr1	-	1917766	1920867	1917997	1920160	2	1917766,1920606,	1920201,1920867,
SPAC110.05.1	SPAC110.05.1	chr1	-	1904195	1906153	1905656	1905884	2	1904195,1904498,	1904455,1906153,
SPAC1142.01.1	SPAC1142.01.1	chr1	+	3625311	3627664	3625573	3627544	2	3625311,3625554,	3625507,3627664,
SPAC1142.02c.1	SPAC1142.02c.1	chr1	-	3627674	3629022	3627844	3628886	3	3627674,3628122,3628783,	3628074,3628743,3629022,
SPAC1142.03c.1	SPAC1142.03c.1	chr1	-	3629014	3631504	3629172	3631341	1	3629014,	3631504,
SPAC1142.04.1	SPAC1142.04.1	chr1	+	3631498	3633874	3631535	3633659	1	3631498,	3633874,
SPAC1142.05.1	SPAC1142.05.1	chr1	+	3635292	3636572	3635764	3636286	1	3635292,	3636572,
SPAC1142.06.1	SPAC1142.06.1	chr1	+	3636684	3638390	3637101	3638091	1	3636684,	3638390,
SPAC1142.07c.1	SPAC1142.07c.1	chr1	-	3638556	3639824	3638770	3639560	2	3638556,3639385,	3639264,3639824,
SPAC1142.08.1	SPAC1142.08.1	chr1	+	3639859	3642338	3639987	3642219	1	3639859,	3642338,
SPAC1142.09.1	SPAC1142.09.1	chr1	+	3642497	3642845	3642497	3642845	1	3642497,	3642845,
SPAC11D3.01c.1	SPAC11D3.01c.1	chr1	-	108731	109195	108907	109147	1	108731,	109195,
SPAC11D3.02c.1	SPAC11D3.02c.1	chr1	-	109828	110455	109828	110281	1	109828,	110455,
SPAC11D3.03c.1	SPAC11D3.03c.1	chr1	-	110903	112499	111004	111913	3	110903,112097,112377,	112046,112333,112499,
SPAC11D3.04c.1	SPAC11D3.04c.1	chr1	-	112513	114445	112916	113309	2	112513,113434,	113367,114445,
SPAC11D3.05.1	SPAC11D3.05.1	chr1	+	113949	115962	114079	115720	1	113949,	115962,
SPAC11D3.06.1	SPAC11D3.06.1	chr1	+	116330	118189	116692	118060	1	116330,	118189,
SPAC11D3.07c.1	SPAC11D3.07c.1	chr1	-	116053	120309	118194	120108	1	116053,	120309,
SPAC11D3.08c.1	SPAC11D3.08c.1	chr1	-	120320	123785	120555	122208	1	120320,	123785,
SPAC11D3.09.1	SPAC11D3.09.1	chr1	+	122186	124116	122844	124029	1	122186,	124116,
SPAC11D3.10.1	SPAC11D3.10.1	chr1	+	124906	129053	125581	126886	1	124906,	129053,
SPAC11D3.11c.1	SPAC11D3.11c.1	chr1	-	126950	129316	128024	129185	3	126950,129102,129171,	129059,129127,129316,
SPAC11D3.13.1	SPAC11D3.13.1	chr1	+	130147	131268	130328	130997	1	130147,	131268,
SPAC11D3.14c.1	SPAC11D3.14c.1	chr1	-	131189	135736	131318	135101	1	131189,	135736,
SPAC11D3.15.1	SPAC11D3.15.1	chr1	+	136138	140365	136330	140284	1	136138,	140365,
SPAC11D3.16c.1	SPAC11D3.16c.1	chr1	-	140380	141653	140804	141200	1	140380,	141653,
SPAC11D3.17.1	SPAC11D3.17.1	chr1	+	141198	144768	142674	144432	2	141198,141558,	141510,144768,
SPAC11D3.18c.1	SPAC11D3.18c.1	chr1	-	144818	146935	144861	146358	2	144818,146911,	146869,146935,
SPAC11D3.19.1	SPAC11D3.19.1	chr1	+	106892	108361	106964	107198	1	106892,	108361,
SPAC11E3.01c.1	SPAC11E3.01c.1	chr1	-	5277394	5281420	5277497	5281364	1	5277394,	5281420,
SPAC11E3.02c.1	SPAC11E3.02c.1	chr1	-	5281777	5285905	5281939	5285699	2	5281777,5285616,	5285570,5285905,
SPAC11E3.03.1	SPAC11E3.03.1	chr1	+	5286052	5287290	5286129	5287055	4	5286052,5286220,5286608,5286876,	5286181,5286562,5286821,5287290,
SPAC11E3.04c.1	SPAC11E3.04c.1	chr1	-	5287179	5288137	5287383	5288081	4	5287179,5287613,5287850,5288054,	5287556,5287698,5288012,5288137,
SPAC11E3.05.1	SPAC11E3.05.1	chr1	+	5288244	5292558	5288391	5292363	1	5288244,	5292558,
SPAC11E3.06.1	SPAC11E3.06.1	chr1	+	5292647	5294751	5292794	5294344	3	5292647,5293022,5293460,	5292938,5293191,5294751,
SPAC11E3.07.1	SPAC11E3.07.1	chr1	+	5294960	5296384	5295020	5295704	1	5294960,	5296384,
SPAC11E3.08c.1	SPAC11E3.08c.1	chr1	-	5296048	5297794	5296164	5297733	1	5296048,	5297794,
SPAC11E3.09.1	SPAC11E3.09.1	chr1	+	5298655	5300189	5298837	5299854	2	5298655,5299230,	5299125,5300189,
SPAC11E3.10.1	SPAC11E3.10.1	chr1	+	5300669	5301956	5300781	5301642	5	5300669,5300924,5301115,5301349,5301456,	5300843,5300948,5301302,5301379,5301956,
SPAC11E3.11c.1	SPAC11E3.11c.1	chr1	-	5302219	5305725	5302568	5305397	1	5302219,	5305725,
SPAC11E3.12.1	SPAC11E3.12.1	chr1	+	5305695	5308686	5305837	5306434	4	5305695,5306102,5306314,5307094,	5306043,5306265,5307048,5308686,
SPAC11E3.13c.1	SPAC11E3.13c.1	chr1	-	5306741	5309063	5307064	5308597	1	5306741,	5309063,
SPAC11E3.14.1	SPAC11E3.14.1	chr1	+	5311343	5314362	5312419	5314186	1	5311343,	5314362,
SPAC11E3.15.1	SPAC11E3.15.1	chr1	+	5314777	5315429	5314861	5315317	3	5314777,5314913,5315221,	5314867,5315165,5315429,
SPAC11G7.01.1	SPAC11G7.01.1	chr1	+	3959726	3962914	3959897	3961508	1	3959726,	3962914,
SPAC11G7.02.1	SPAC11G7.02.1	chr1	+	3963057	3966172	3963322	3965870	4	3963057,3963390,3963464,3963751,	3963339,3963413,3963609,3966172,
SPAC11G7.03.1	SPAC11G7.03.1	chr1	+	3966739	3968132	3966834	3967905	1	3966739,	3968132,
SPAC11G7.04.1	SPAC11G7.04.1	chr1	+	3968931	3969558	3969008	3969395	1	3968931,	3969558,
SPAC11G7.05c.1	SPAC11G7.05c.1	chr1	-	3969365	3971294	3969832	3970789	1	3969365,	3971294,
SPAC11G7.06c.1	SPAC11G7.06c.1	chr1	-	3971563	3974699	3971941	3973234	1	3971563,	3974699,
SPAC11H11.01.1	SPAC11H11.01.1	chr1	+	4775687	4777440	4775837	4777340	2	4775687,4775933,	4775894,4777440,
SPAC11H11.02c.1	SPAC11H11.02c.1	chr1	-	4775516	4778622	4777438	4778429	4	4775516,4777536,4778008,4778253,	4777498,4777956,4778147,4778622,
SPAC11H11.03c.1	SPAC11H11.03c.1	chr1	-	4779019	4780284	4779180	4780249	4	4779019,4779522,4780022,4780240,	4779484,4779667,4780185,4780284,
SPAC11H11.04.1	SPAC11H11.04.1	chr1	+	4780223	4781922	4780687	4781734	1	4780223,	4781922,
SPAC11H11.05c.1	SPAC11H11.05c.1	chr1	-	4782046	4782273	4782046	4782273	2	4782046,4782242,	4782195,4782273,
SPAC11H11.06.1	SPAC11H11.06.1	chr1	+	4783006	4784765	4783054	4784277	2	4783006,4783152,	4783102,4784765,
SPAC1250.01.1	SPAC1250.01.1	chr1	-	5100147	5104194	5100375	5104016	2	5100147,5103965,	5103924,5104194,
SPAC1250.02.1	SPAC1250.02.1	chr1	-	5099292	5100214	5099364	5099986	2	5099292,5099597,	5099512,5100214,
SPAC1250.03.1	SPAC1250.03.1	chr1	-	5097689	5098816	5098186	5098816	3	5097689,5098506,5098774,	5098405,5098713,5098816,
SPAC1250.04c.1	SPAC1250.04c.1	chr1	+	5096772	5097662	5097112	5097439	1	5096772,	5097662,
SPAC1250.05.1	SPAC1250.05.1	chr1	-	5095072	5095925	5095210	5095810	2	5095072,5095547,	5095301,5095925,
SPAC1250.07.1	SPAC1250.07.1	chr1	-	5097849	5098212	5097849	5098212	1	5097849,	5098212,
SPAC1296.01c.1	SPAC1296.01c.1	chr1	-	707947	710479	708054	710023	7	707947,708167,708978,709427,709744,709895,710412,	708127,708931,709339,709644,709830,710366,710479,
SPAC1296.02.1	SPAC1296.02.1	chr1	+	711237	712354	711300	712150	2	711237,711767,	711412,712354,
SPAC1296.03c.1	SPAC1296.03c.1	chr1	-	712216	714070	712490	714014	1	712216,	714070,
SPAC1296.04.1	SPAC1296.04.1	chr1	+	715376	716978	715479	716621	4	715376,715582,715993,716222,	715535,715721,716146,716978,
SPAC1296.05c.1	SPAC1296.05c.1	chr1	-	716873	718168	716939	717804	2	716873,717673,	717585,718168,
SPAC1296.06.1	SPAC1296.06.1	chr1	+	719379	721549	719446	721410	5	719379,719662,719790,719925,720065,	719581,719740,719888,720024,721549,
SPAC12B10.01c.1	SPAC12B10.01c.1	chr1	-	4570304	4575656	4570497	4575441	1	4570304,	4575656,
SPAC12B10.02c.1	SPAC12B10.02c.1	chr1	-	4576186	4577002	4576227	4576935	1	4576186,	4577002,
SPAC12B10.03.1	SPAC12B10.03.1	chr1	+	4578163	4580722	4578626	4580258	1	4578163,	4580722,
SPAC12B10.04.1	SPAC12B10.04.1	chr1	+	4580655	4582281	4580823	4582145	3	4580655,4581835,4581977,	4581783,4581919,4582281,
SPAC12B10.05.1	SPAC12B10.05.1	chr1	+	4582298	4584511	4582377	4584333	12	4582298,4582594,4582746,4582806,4582868,4582930,4583006,4583173,4583618,4583739,4584010,4584162,	4582549,4582697,4582767,4582833,4582882,4582963,4583134,4583557,4583696,4583961,4584118,4584511,
SPAC12B10.06c.1	SPAC12B10.06c.1	chr1	-	4584472	4585226	4584549	4585025	2	4584472,4584732,	4584676,4585226,
SPAC12B10.07.1	SPAC12B10.07.1	chr1	+	4584464	4586536	4585254	4586135	3	4584464,4585370,4585628,	4585324,4585564,4586536,
SPAC12B10.08c.1	SPAC12B10.08c.1	chr1	-	4586308	4588764	4586583	4588058	3	4586308,4587449,4587982,	4587390,4587937,4588764,
SPAC12B10.09.1	SPAC12B10.09.1	chr1	+	4588249	4589793	4588249	4589574	4	4588249,4588566,4588868,4589409,	4588510,4588723,4589323,4589793,
SPAC12B10.10.1	SPAC12B10.10.1	chr1	+	4590151	4591524	4590264	4591524	1	4590151,	4591524,
SPAC12B10.11.1	SPAC12B10.11.1	chr1	+	4591854	4593567	4591854	4593567	1	4591854,	4593567,
SPAC12B10.12c.1	SPAC12B10.12c.1	chr1	-	4593599	4596120	4593872	4595789	1	4593599,	4596120,
SPAC12B10.13.1	SPAC12B10.13.1	chr1	+	4596233	4597380	4596438	4597269	3	4596233,4596603,4596843,	4596539,4596799,4597380,
SPAC12B10.14c.1	SPAC12B10.14c.1	chr1	-	4597465	4599622	4597566	4599622	2	4597465,4597679,	4597621,4599622,
SPAC12B10.15c.1	SPAC12B10.15c.1	chr1	-	4600262	4600817	4600262	4600706	1	4600262,	4600817,
SPAC12B10.16c.1	SPAC12B10.16c.1	chr1	-	4601277	4603478	4601526	4603221	2	4601277,4603146,	4602981,4603478,
SPAC12G12.01c.1	SPAC12G12.01c.1	chr1	+	346794	350151	347194	349912	1	346794,	350151,
SPAC12G12.02.1	SPAC12G12.02.1	chr1	-	345233	347735	345838	346618	4	345233,346113,346306,346543,	346051,346244,346439,347735,
SPAC12G12.03.1	SPAC12G12.03.1	chr1	-	342089	345182	343398	345129	1	342089,	345182,
SPAC12G12.04.1	SPAC12G12.04.1	chr1	-	339765	342080	340106	341855	1	339765,	342080,
SPAC12G12.05c.1	SPAC12G12.05c.1	chr1	+	338285	339763	338391	338883	1	338285,	339763,
SPAC12G12.06c.1	SPAC12G12.06c.1	chr1	+	336307	338157	336427	337519	1	336307,	338157,
SPAC12G12.07c.1	SPAC12G12.07c.1	chr1	+	334614	336131	334659	335945	2	334614,334829,	334782,336131,
SPAC12G12.08.1	SPAC12G12.08.1	chr1	-	333177	334621	333694	334336	1	333177,	334621,
SPAC12G12.09.1	SPAC12G12.09.1	chr1	-	329809	332816	329809	332743	1	329809,	332816,
SPAC12G12.10.1	SPAC12G12.10.1	chr1	-	328195	329545	328221	329484	1	328195,	329545,
SPAC12G12.11c.1	SPAC12G12.11c.1	chr1	+	326439	328122	326693	327982	3	326439,326941,327497,	326856,327391,328122,
SPAC12G12.12.1	SPAC12G12.12.1	chr1	-	324041	325517	324193	325280	3	324041,324461,325224,	324407,325166,325517,
SPAC12G12.13c.1	SPAC12G12.13c.1	chr1	+	321763	324129	321923	323978	1	321763,	324129,
SPAC12G12.14c.1	SPAC12G12.14c.1	chr1	+	319814	321825	319973	321503	1	319814,	321825,
SPAC12G12.15.1	SPAC12G12.15.1	chr1	-	316995	319185	317430	318941	3	316995,317513,318220,	317469,318172,319185,
SPAC12G12.16c.1	SPAC12G12.16c.1	chr1	+	315393	317585	315706	317197	1	315393,	317585,
SPAC12G12.17.1	SPAC12G12.17.1	chr1	+	332837	333578	333213	333441	2	332837,333290,	333239,333578,
SPAC1327.01c.1	SPAC1327.01c.1	chr1	-	2204822	2208418	2205161	2208095	1	2204822,	2208418,
SPAC139.01c.1	SPAC139.01c.1	chr1	-	1016102	1019031	1016365	1018875	3	1016102,1016729,1018868,	1016669,1018827,1019031,
SPAC139.02c.1	SPAC139.02c.1	chr1	-	1019247	1020838	1019611	1020574	1	1019247,	1020838,
SPAC139.03.1	SPAC139.03.1	chr1	+	1021694	1024135	1021916	1023874	3	1021694,1022846,1023835,	1022807,1023794,1024135,
SPAC139.04c.1	SPAC139.04c.1	chr1	-	1024001	1025903	1024175	1025477	1	1024001,	1025903,
SPAC139.05.1	SPAC139.05.1	chr1	+	1027810	1029993	1028315	1029797	1	1027810,	1029993,
SPAC139.06.1	SPAC139.06.1	chr1	+	1030124	1031941	1030229	1031693	6	1030124,1030337,1030502,1030810,1030997,1031417,	1030287,1030441,1030721,1030926,1031361,1031941,
SPAC1399.01c.1	SPAC1399.01c.1	chr1	+	1851494	1854651	1852626	1854432	1	1851494,	1854651,
SPAC1399.02.1	SPAC1399.02.1	chr1	-	1845647	1848341	1846120	1847890	1	1845647,	1848341,
SPAC1399.03.1	SPAC1399.03.1	chr1	-	1841907	1843995	1841935	1843681	1	1841907,	1843995,
SPAC1399.04c.1	SPAC1399.04c.1	chr1	+	1840620	1841283	1840620	1841283	1	1840620,	1841283,
SPAC1399.05c.1	SPAC1399.05c.1	chr1	+	1838514	1840293	1838586	1840293	2	1838514,1838969,	1838852,1840293,
SPAC1399.06.1	SPAC1399.06.1	chr1	-	1848337	1850881	1849983	1850358	1	1848337,	1850881,
SPAC13A11.01c.1	SPAC13A11.01c.1	chr1	-	570752	574417	571993	574371	2	570752,574268,	574224,574417,
SPAC13A11.02c.1	SPAC13A11.02c.1	chr1	-	574651	577171	575134	576622	1	574651,	577171,
SPAC13A11.03.1	SPAC13A11.03.1	chr1	+	578391	579948	578520	579247	2	578391,578680,	578586,579948,
SPAC13A11.04c.1	SPAC13A11.04c.1	chr1	-	579352	581553	579719	581390	6	579352,579834,579952,580295,581083,581294,	579789,579899,580250,580983,581216,581553,
SPAC13A11.05.1	SPAC13A11.05.1	chr1	+	582272	584402	582491	584033	1	582272,	584402,
SPAC13A11.06.1	SPAC13A11.06.1	chr1	+	585354	587495	585596	587312	1	585354,	587495,
SPAC13C5.01c.1	SPAC13C5.01c.1	chr1	-	423925	425256	424476	425223	1	423925,	425256,
SPAC13C5.02.1	SPAC13C5.02.1	chr1	+	425630	427415	426029	427342	3	425630,426105,426363,	426069,426322,427415,
SPAC13C5.03.1	SPAC13C5.03.1	chr1	+	427349	430121	427582	429318	3	427349,427985,428652,	427943,428590,430121,
SPAC13C5.04.1	SPAC13C5.04.1	chr1	+	430055	431032	430129	430876	1	430055,	431032,
SPAC13C5.05c.1	SPAC13C5.05c.1	chr1	-	431366	433274	431561	433203	3	431366,433027,433153,	432982,433113,433274,
SPAC13C5.06c.1	SPAC13C5.06c.1	chr1	-	434101	435179	434523	435101	2	434101,434875,	434831,435179,
SPAC13C5.07.1	SPAC13C5.07.1	chr1	+	435169	439980	436213	438369	5	435169,436429,437005,437623,437852,	436381,436935,437580,437807,439980,
SPAC13D1.01c.1	SPAC13D1.01c.1	chr1	-	5191059	5195702	5191143	5195145	1	5191059,	5195702,
SPAC13D6.01.1	SPAC13D6.01.1	chr1	+	2245496	2247128	2245785	2247081	1	2245496,	2247128,
SPAC13D6.02c.1	SPAC13D6.02c.1	chr1	-	2247228	2248535	2247942	2248482	1	2247228,	2248535,
SPAC13D6.03c.1	SPAC13D6.03c.1	chr1	-	2249891	2251382	2250371	2251107	2	2249891,2251026,	2250977,2251382,
SPAC13D6.04c.1	SPAC13D6.04c.1	chr1	-	2251441	2253385	2251499	2253189	3	2251441,2252820,2252980,	2252770,2252912,2253385,
SPAC13D6.05.1	SPAC13D6.05.1	chr1	+	2253358	2254440	2253467	2254172	1	2253358,	2254440,
SPAC13F5.01c.1	SPAC13F5.01c.1	chr1	-	2169035	2172310	2169184	2172095	3	2169035,2169307,2169437,	2169267,2169392,2172310,
