Database of representative transcript models for protein-coding genes in Drosophila S2 cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for D. melanogaster had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from S2 cells; only genes detected by 3P-Seq are included in the table.
Coordinates of fly genes are based on the dm3 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_141739	CG12818	chr3R	+	6157302	6158498	6157340	6158321	3	6157302,6157419,6157577,	6157363,6157519,6158498,
NM_132403	nocte	chrX	-	10357667	10367652	10358485	10366002	6	10357667,10359175,10359617,10365650,10365912,10367201,	10359100,10359280,10365571,10365816,10366176,10367652,
NM_132292	CG7246	chrX	-	8972855	8975090	8972979	8974980	4	8972855,8973278,8974527,8974888,	8973207,8974463,8974831,8975090,
NM_206459	wtrw	chr3R	+	3717052	3726869	3720233	3726476	4	3717052,3719983,3723567,3724979,	3717206,3720352,3724912,3726869,
NM_001031912	CG33714	chrX	-	21188962	21190299	21189881	21190154	2	21188962,21190249,	21190167,21190299,
NM_138026	CG3907	chr2R	-	19907420	19909779	19907760	19909504	8	19907420,19907906,19908088,19908277,19908525,19908898,19909312,19909755,	19907844,19908032,19908220,19908463,19908842,19909064,19909634,19909779,
NM_140812	CG3902	chr3L	-	18886189	18891393	18886441	18891275	4	18886189,18887455,18891043,18891239,	18887065,18887934,18891149,18891393,
NM_141712	CG3909	chr3R	+	5868979	5870328	5869068	5870299	5	5868979,5869124,5869487,5869783,5870025,	5869071,5869416,5869726,5869971,5870328,
NM_166730	CG32000	chr4	+	156897	163752	157378	163421	8	156897,157504,157848,158016,158432,158999,160895,162825,	157403,157793,157958,158378,158936,159200,162753,163752,
NM_132132	CG4557	chrX	+	6738375	6742138	6738639	6741708	5	6738375,6739275,6740861,6741202,6741489,	6739207,6740785,6741138,6741430,6742138,
NM_136440	p47	chr2R	-	3352484	3354264	3352641	3354175	5	3352484,3352835,3353283,3353767,3354073,	3352774,3353180,3353712,3353982,3354264,
NM_167961	MEP-1	chr3L	+	2636904	2641985	2637132	2641016	7	2636904,2637067,2639614,2640025,2640336,2640577,2641011,	2636967,2639553,2639872,2640271,2640516,2640926,2641985,
NM_141330	CG2051	chr3R	-	1613058	1614796	1613190	1614554	3	1613058,1613933,1614487,	1613839,1614435,1614796,
NM_132160	CG2059	chrX	+	7180885	7182151	7180885	7182082	5	7180885,7181204,7181443,7181741,7181943,	7181131,7181378,7181673,7181879,7182151,
NM_176542	CG7029	chr3R	+	18607498	18619693	18610484	18618401	7	18607498,18610188,18612727,18614300,18615214,18617979,18618379,	18607880,18611145,18614239,18614490,18617722,18618321,18619693,
NM_138166	CG7028	chr3L	-	205923	211457	208113	211308	8	205923,208371,208970,209141,209449,209783,210814,211291,	208317,208908,209079,209374,209713,210738,211219,211457,
NM_079675	dnk	chr3R	+	14807145	14808500	14807293	14808179	3	14807145,14807701,14808029,	14807625,14807972,14808500,
NM_057993	dnt	chr2L	-	19338668	19363227	19339164	19362839	4	19338668,19339354,19339769,19362658,	19339276,19339651,19340934,19363227,
NM_135360	Ostgamma	chr2L	-	8306703	8308192	8306824	8308069	4	8306703,8306905,8307146,8307982,	8306840,8307068,8307873,8308192,
NM_134734	CG5080	chr2L	-	1160291	1163886	1160443	1163088	5	1160291,1161289,1161926,1162999,1163759,	1161219,1161869,1162146,1163149,1163886,
NM_140022	CG5087	chr3L	+	8991283	8995666	8991554	8995229	7	8991283,8991762,8992315,8992752,8993438,8993702,8994944,	8991709,8992252,8992696,8993378,8993557,8994883,8995666,
NM_079126	Cyp9c1	chr2R	+	20518585	20520446	20518708	20520395	3	20518585,20518947,20519540,	20518887,20519482,20520446,
NM_001260464	CG1971	chr3R	+	27631400	27632418	27631595	27632234	2	27631400,27631514,	27631457,27632418,
NM_143669	CG1970	chr4	-	588921	591416	588992	591321	6	588921,589739,590600,590859,591034,591229,	589682,589927,590802,590969,591159,591416,
NM_001259887	Eip74EF	chr3L	-	17553257	17612425	17554869	17592052	8	17553257,17557705,17558456,17590559,17591286,17591920,17595774,17611750,	17555858,17557960,17558825,17591067,17591568,17592533,17596483,17612425,
NM_142186	l(3)neo43	chr3R	-	11103876	11104351	11103964	11104271	2	11103876,11104224,	11104163,11104351,
NM_142565	CG6195	chr3R	-	15472651	15474224	15472691	15474014	4	15472651,15472934,15473652,15473950,	15472853,15473599,15473853,15474224,
NM_142193	CG6196	chr3R	-	11175231	11176717	11176115	11176642	2	11175231,11176573,	11176505,11176717,
NM_137047	CG6197	chr2R	+	9481153	9484068	9481230	9484003	3	9481153,9481333,9483427,	9481275,9483364,9484068,
NM_137694	CG9350	chr2R	+	16912584	16913591	16912851	16913481	4	16912584,16912845,16913165,16913320,	16912665,16913108,16913260,16913591,
NM_079840	Sry-beta	chr3R	+	25865440	25866753	25865534	25866658	2	25865440,25865660,	25865607,25866753,
NM_001201998	CG8331	chr2R	+	10059657	10060496	10059664	10060313	4	10059657,10059794,10060088,10060251,	10059731,10060027,10060188,10060496,
NM_168355	CG8336	chr3L	+	9623071	9624895	9623320	9624796	5	9623071,9623258,9623479,9623917,9624292,	9623203,9623402,9623724,9624238,9624895,
NM_001169293	CG16952	chrX	+	15764208	15769640	15766224	15769444	6	15764208,15765393,15765891,15766062,15766724,15769300,	15764598,15765556,15766002,15766647,15769238,15769640,
NM_142640	CG16953	chr3R	-	16407493	16411555	16408221	16411194	7	16407493,16408519,16408692,16408918,16409101,16410858,16411124,	16408462,16408628,16408857,16409038,16409966,16411010,16411555,
NM_136573	MrgBP	chr2R	-	4788070	4788880	4788154	4788812	2	4788070,4788397,	4788345,4788880,
NM_142785	pinta	chr3R	-	18249037	18250447	18249317	18250412	3	18249037,18249573,18250019,	18249516,18249803,18250447,
NM_080526	cype	chr2L	+	5327240	5327974	5327506	5327807	3	5327240,5327502,5327743,	5327286,5327676,5327974,
NM_142327	Irc	chr3R	+	12828596	12832930	12828797	12832835	11	12828596,12829925,12830189,12830587,12830891,12831145,12831826,12832055,12832297,12832471,12832804,	12828873,12830022,12830523,12830774,12831073,12831711,12831998,12832223,12832415,12832634,12832930,
NM_001170212	how	chr3R	+	17867912	17905112	17868785	17900280	9	17867912,17868628,17888446,17894832,17896528,17897054,17897460,17900170,17903085,	17868077,17869101,17888580,17894949,17896669,17897151,17897763,17900666,17905112,
NM_135187	CG9531	chr2L	-	6466357	6467700	6466523	6467608	3	6466357,6466818,6467398,	6466764,6467339,6467700,
NM_001201777	CG9536	chr2L	-	6474437	6476972	6474798	6476745	4	6474437,6474707,6475445,6476221,	6474651,6475270,6475802,6476972,
NM_078564	hop	chrX	-	11254954	11262130	11255847	11261495	10	11254954,11256103,11256340,11257024,11257529,11257993,11258516,11259065,11260002,11260433,	11256037,11256268,11256519,11257461,11257879,11258456,11258836,11259272,11260163,11262130,
NM_131920	CG6379	chrX	-	3991965	3995068	3992206	3994674	2	3991965,3994025,	3993924,3995068,
NM_001201944	CG1358	chr2R	-	3482769	3508216	3484044	3493593	11	3482769,3484454,3484769,3484973,3485720,3489936,3490626,3490912,3493448,3507837,3508109,	3484333,3484565,3484894,3485170,3485862,3490161,3490729,3491024,3493749,3507944,3508216,
NM_137098	CG8485	chr2R	-	10123291	10127203	10123584	10126626	9	10123291,10124343,10125079,10125261,10125452,10125880,10126134,10126420,10126955,	10124280,10125009,10125206,10125387,10125819,10126056,10126353,10126695,10127203,
NM_167203	CG1354	chrX	+	9674219	9676134	9674239	9675761	3	9674219,9674543,9675191,	9674334,9674925,9676134,
NM_001014612	CG8481	chr3R	+	5593572	5595749	5594527	5595148	3	5593572,5594466,5594644,	5593862,5594560,5595749,
NM_058063	smt3	chr2L	-	6966783	6967644	6967027	6967300	2	6966783,6967507,	6967385,6967644,
NM_169577	pr-set7	chr3R	+	10141764	10144752	10142333	10144480	4	10141764,10142032,10142198,10142660,	10141925,10142102,10142589,10144752,
NM_166149	CG30094	chr2R	+	12029736	12030440	12029792	12030337	2	12029736,12029858,	12029799,12030440,
NM_166162	CG30096	chr2R	-	12208554	12209577	12208631	12209401	4	12208554,12209074,12209377,12209488,	12209018,12209323,12209418,12209577,
NM_206509	eIF-1A	chr3R	+	14100386	14108672	14100659	14107658	3	14100386,14100547,14107415,	14100478,14100863,14108672,
NM_057657	cpb	chr2L	+	1704901	1706960	1705111	1706227	2	1704901,1705399,	1705114,1706960,
NM_057544	ewg	chrX	-	163648	173667	164601	168450	7	163648,165322,165520,166454,167215,167502,173217,	165242,165458,165646,166916,167425,168561,173667,
NM_132551	Usp7	chrX	-	11917107	11923061	11918340	11921900	4	11917107,11919146,11920658,11922456,	11919090,11920544,11922072,11923061,
NM_136978	CG17574	chr2R	-	8736895	8756928	8737241	8756550	5	8736895,8737465,8737603,8756447,8756654,	8737401,8737543,8737733,8756588,8756928,
NM_001169269	Set2	chrX	+	13307274	13315126	13307499	13314788	6	13307274,13307345,13309075,13311623,13314401,13314629,	13307281,13308928,13311552,13314337,13314564,13315126,
NM_139809	Mis12	chr3L	-	6961133	6962148	6961313	6962034	3	6961133,6961608,6961964,	6961496,6961901,6962148,
NM_176728	inaE	chrX	+	13677781	13701666	13695711	13699512	14	13677781,13679739,13695711,13695934,13696099,13696269,13696624,13696880,13697358,13697941,13698155,13698326,13699484,13700564,	13678222,13679985,13695806,13696041,13696204,13696371,13696802,13697300,13697883,13698083,13698260,13698454,13699676,13701666,
NM_165342	vari	chr2L	-	20788723	20797042	20789246	20796758	10	20788723,20789585,20789720,20790124,20790390,20790621,20791166,20792113,20796036,20796652,	20789423,20789660,20790052,20790335,20790552,20790720,20791664,20792266,20796134,20797042,
NM_176425	CG9821	chr3R	-	4640593	4646404	4643584	4644442	2	4640593,4646033,	4644985,4646404,
NM_079290	Gap1	chr3L	-	9832198	9848385	9833661	9847912	5	9832198,9835567,9836331,9836653,9847764,	9834663,9835763,9836591,9838539,9848385,
NM_166402	Hil	chr2R	-	16494348	16505719	16494921	16502199	9	16494348,16495174,16495398,16495640,16496186,16500569,16500834,16502010,16505571,	16495087,16495338,16495512,16496127,16497181,16500769,16500976,16502438,16505719,
NM_205978	MRP	chr2L	+	12722276	12744807	12722430	12744171	12	12722276,12722558,12724205,12724764,12725711,12725858,12726745,12736592,12737958,12738240,12738806,12743979,	12722484,12724070,12724343,12724911,12725796,12726678,12727116,12736813,12738176,12738747,12739188,12744807,
NM_167065	Ubi-p5E	chrX	-	6171009	6173305	6171176	6172781	2	6171009,6173168,	6172786,6173305,
NM_142334	CG3995	chr3R	-	12867617	12868826	12867759	12868784	2	12867617,12868391,	12868335,12868826,
NM_079617	timeout	chr3R	+	8914372	8989599	8914482	8989526	18	8914372,8914644,8918458,8918777,8920956,8924584,8925405,8932497,8934977,8935262,8939861,8983702,8983925,8984683,8986879,8987380,8987772,8988126,	8914584,8914968,8918716,8919097,8921142,8924708,8925572,8932669,8935111,8935343,8939962,8983798,8983974,8984825,8987085,8987469,8987976,8989599,
NM_001260433	RpS8	chr3R	+	25687618	25689413	25687652	25689240	4	25687618,25687920,25688506,25689136,	25687656,25688027,25688918,25689413,
NM_169521	Droj2	chr3R	+	9209055	9211005	9209200	9210502	2	9209055,9210391,	9210301,9211005,
NM_164615	Cg25C	chr2L	+	5029608	5037279	5030217	5036737	9	5029608,5030136,5030741,5030854,5031877,5032499,5034012,5035063,5036476,	5029810,5030237,5030790,5031802,5032374,5033950,5034981,5036208,5037279,
NM_133124	RhoGAP18B	chrX	-	19030221	19052234	19037617	19048986	8	19030221,19037505,19038037,19038596,19040000,19044843,19047060,19052152,	19030638,19037801,19038529,19038624,19040175,19045992,19049034,19052234,
NM_135403	Trs23	chr2L	+	8686230	8687525	8686317	8687034	2	8686230,8686549,	8686492,8687525,
NM_143340	CG5508	chr3R	+	23750912	23758695	23751602	23758392	8	23750912,23754952,23755702,23755925,23757041,23757409,23757811,23758183,	23751715,23755070,23755867,23756920,23757346,23757747,23758121,23758695,
NM_079613	ry	chr3R	+	8858249	8863748	8858487	8863651	4	8858249,8859339,8862221,8863600,	8858529,8861940,8863535,8863748,
NM_143254	CG5500	chr3R	+	22702351	22706191	22705315	22706067	3	22702351,22705200,22705806,	22702477,22705558,22706191,
NM_078719	smo	chr2L	+	277586	282167	277825	281514	6	277586,277929,278642,279184,279869,280109,	277863,278323,279124,279805,280040,282167,
NM_141803	CG31388	chr3R	+	7063536	7065836	7063590	7065759	6	7063536,7063774,7064678,7064832,7065232,7065617,	7063707,7064331,7064763,7065155,7065349,7065836,
NM_080037	ergic53	chr3L	+	8528076	8531135	8528105	8530218	5	8528076,8528473,8529267,8529990,8530181,	8528286,8529192,8529743,8530116,8531135,
NM_078563	dsh	chrX	+	11249913	11252723	11250386	11252258	1	11249913,	11252723,
NM_001144452	smg	chr3L	-	8983410	8990194	8985180	8988567	4	8983410,8985143,8986198,8989953,	8984637,8986141,8988665,8990194,
NM_143314	dsd	chr3R	-	23423297	23433118	23424756	23432762	8	23423297,23424978,23425213,23425361,23428519,23428735,23428972,23432490,	23424914,23425060,23425300,23428191,23428667,23428893,23429209,23433118,
NM_137144	Spred	chr2R	-	10647367	10656927	10649543	10655528	6	10647367,10650423,10651335,10651564,10655508,10656782,	10650301,10650579,10651504,10651742,10655875,10656927,
NM_168826	Su(z)12	chr3L	-	19911341	19916562	19912100	19916088	6	19911341,19913253,19914151,19915066,19915784,19915898,	19912390,19914086,19915004,19915556,19915831,19916562,
NM_136843	Egm	chr2R	-	7504373	7506528	7504434	7506476	3	7504373,7505020,7505406,	7504959,7505345,7506528,
NM_001202338	wfs1	chr3R	-	18513081	18516102	18513288	18516018	4	18513081,18514174,18515796,18515954,	18514122,18515736,18515895,18516102,
NM_057472	Vinc	chrX	-	2108379	2116492	2109047	2114462	6	2108379,2109287,2109745,2109937,2114405,2116264,	2109155,2109686,2109876,2112128,2114557,2116492,
NM_140094	CG14174	chr3L	+	9712427	9715311	9712439	9713547	2	9712427,9712585,	9712521,9715311,
NM_206055	rnh1	chr2R	-	3818558	3819891	3818633	3819854	4	3818558,3818789,3819115,3819512,	3818729,3819060,3819351,3819891,
NM_001201962	CG18659	chr2R	-	5010808	5019486	5011206	5019004	9	5010808,5013055,5013685,5014923,5015441,5015761,5015875,5018668,5018987,	5011650,5013571,5013718,5015382,5015702,5015815,5016146,5018863,5019486,
NM_080170	mus101	chrX	+	13616278	13621237	13616386	13620664	1	13616278,	13621237,
NM_144447	CG18870	chr2R	-	17502270	17504398	17503098	17504232	3	17502270,17503309,17504150,	17503242,17504091,17504398,
NM_132509	CG15220	chrX	-	11509078	11509873	11509377	11509787	2	11509078,11509550,	11509479,11509873,
NM_136895	wash	chr2R	+	8068144	8069992	8068205	8069705	1	8068144,	8069992,
NM_080324	Rala	chrX	-	3599016	3613665	3601407	3604254	6	3599016,3601400,3602776,3603868,3604101,3613395,	3600284,3601524,3602951,3604029,3604281,3613665,
NM_143721	Hdac3	chr3R	-	1298531	1300320	1298597	1300045	3	1298531,1299736,1299887,	1299667,1299825,1300320,
NM_134694	CG13689	chr2L	+	602812	603628	602870	603339	2	602812,603073,	603006,603628,
NM_164892	CG4908	chr2L	+	10222657	10224751	10223145	10224441	2	10222657,10223140,	10223059,10224751,
NM_135016	CG3225	chr2L	-	4814548	4818245	4815941	4818166	5	4814548,4815915,4817721,4817881,4818037,	4815857,4817663,4817815,4817973,4818245,
NM_132107	CG3224	chrX	-	6554572	6555480	6554716	6555205	2	6554572,6555386,	6555326,6555480,
NM_132104	CG3226	chrX	-	6546253	6548279	6547258	6548193	3	6546253,6547940,6548178,	6547763,6548113,6548279,
NM_135512	CG4901	chr2L	+	10211182	10213721	10211421	10213697	5	10211182,10211397,10212326,10212467,10213313,	10211282,10212263,10212402,10213250,10213721,
NM_141501	CG3223	chr3R	+	3835121	3836743	3835209	3836588	3	3835121,3835424,3835899,	3835351,3835841,3836743,
NM_142329	CG3590	chr3R	-	12844470	12846842	12845270	12846716	1	12844470,	12846842,
NM_167922	dre4	chr3L	-	1871573	1876312	1871760	1876178	8	1871573,1872581,1872799,1873116,1874040,1875286,1875651,1876109,	1871917,1872735,1873062,1873983,1875218,1875586,1875915,1876312,
NM_001014567	CG33523	chr3L	+	5920881	5923220	5920980	5922386	5	5920881,5921323,5921636,5921803,5922203,	5921007,5921396,5921740,5922139,5923220,
NM_130569	CG14795	chrX	-	1406259	1406832	1406328	1406799	3	1406259,1406445,1406693,	1406390,1406628,1406832,
NM_001201791	Pvr	chr2L	-	8221123	8239878	8221548	8230194	17	8221123,8222225,8222445,8222580,8222891,8223222,8223824,8224051,8224592,8225105,8225671,8226209,8226457,8227651,8228493,8230124,8239691,	8222114,8222376,8222518,8222830,8223161,8223449,8223984,8224531,8225042,8225415,8226141,8226393,8226606,8227826,8229011,8230331,8239878,
NM_142604	trem	chr3R	-	15855281	15857025	15855387	15856932	5	15855281,15855612,15855779,15855970,15856785,	15855553,15855723,15855914,15856731,15857025,
NM_166466	CG10082	chr2R	+	17533681	17545391	17537730	17544578	8	17533681,17537615,17539941,17542279,17542474,17542625,17543096,17543871,	17533996,17538297,17540068,17542412,17542551,17543007,17543812,17545391,
NM_140400	CG10083	chr3L	-	13476632	13479380	13477113	13478957	5	13476632,13477409,13477950,13478188,13478702,	13477346,13477888,13478127,13478640,13479380,
NM_132144	CG3040	chrX	-	6866356	6867443	6866491	6867208	1	6866356,	6867443,
NM_137802	CG3045	chr2R	-	18059950	18062243	18060378	18062104	5	18059950,18060511,18061130,18061672,18061820,	18060455,18061072,18061616,18061764,18062243,
NM_079393	Mo25	chr3L	-	16606317	16608572	16607249	16608269	1	16606317,	16608572,
NM_167081	l(1)G0255	chrX	+	6573650	6575878	6573790	6575732	5	6573650,6573858,6574330,6574600,6575469,	6573793,6573990,6574531,6575405,6575878,
NM_080171	RpII18	chr3R	+	1197516	1198240	1197608	1198066	2	1197516,1197699,	1197637,1198240,
NM_169575	RpII15	chr3R	+	10134796	10135810	10134908	10135298	2	10134796,10134899,	10134844,10135810,
NM_139414	CG12025	chr3L	+	1865429	1868545	1865756	1867492	2	1865429,1867140,	1865917,1868545,
NM_001103604	CG12795	chr2L	+	3452450	3453768	3452616	3453596	3	3452450,3452739,3453428,	3452671,3453278,3453768,
NM_001103395	ph-d	chrX	-	2009752	2017164	2010898	2015161	5	2009752,2011713,2013583,2014095,2017014,	2011650,2013524,2014034,2015657,2017164,
NM_136053	CG10338	chr2L	+	18695732	18698617	18696141	18697885	4	18695732,18696567,18697420,18697823,	18696208,18697358,18697754,18698617,
NM_165261	CG10336	chr2L	+	18689692	18690894	18689793	18690717	1	18689692,	18690894,
NM_136142	CG10337	chr2L	-	19545375	19546959	19545804	19546811	3	19545375,19546202,19546646,	19546136,19546425,19546959,
NM_001169173	ph-p	chrX	-	2020517	2030888	2020841	2025065	5	2020517,2021656,2023499,2024011,2030498,	2021593,2023440,2023950,2025759,2030888,
NM_136044	CG10333	chr2L	+	18606832	18609540	18606923	18609455	2	18606832,18607153,	18607090,18609540,
NM_080762	CkIIbeta	chrX	+	11686565	11691957	11687479	11689642	7	11686565,11687475,11687830,11688006,11688851,11689137,11689633,	11686719,11687551,11687933,11688198,11689041,11689219,11691957,
NM_142176	CG31344	chr3R	-	11049099	11051051	11049154	11050868	3	11049099,11050463,11050804,	11050109,11050656,11051051,
NM_142175	CG12241	chr3R	+	11044977	11048205	11045132	11047677	3	11044977,11045267,11045851,	11045198,11045790,11048205,
NM_134885	CG8814	chr2L	+	2874871	2877164	2875387	2876362	3	2874871,2875385,2876783,	2875264,2876410,2877164,
NM_130478	G9a	chrX	+	140010	148601	140882	147294	10	140010,142414,144326,144658,145082,145383,145634,145855,146462,147101,	141629,144271,144568,145026,145324,145574,145796,146393,146836,148601,
NM_079050	RpL18A	chr2R	-	13433910	13434999	13433975	13434931	2	13433910,13434913,	13434491,13434999,
NM_136950	CG8818	chr2R	-	8404767	8406423	8404908	8406312	3	8404767,8405145,8405341,	8405093,8405279,8406423,
NM_166738	CG2316	chr4	-	204701	214455	205140	209805	9	204701,205295,206452,206603,208622,208855,209050,209203,214298,	205240,205421,206542,207466,208795,208995,209149,209874,214455,
NM_001144707	CG7766	chrX	-	8987644	8997756	8988275	8997104	13	8987644,8988443,8989098,8989427,8990798,8991387,8991788,8992116,8994545,8995128,8995598,8996527,8997477,	8988381,8989041,8989366,8989858,8990858,8991546,8992040,8992446,8994690,8995452,8996266,8997133,8997756,
NM_167303	Karl	chrX	+	11682876	11686041	11682971	11685764	4	11682876,11684890,11685093,11685390,	11683136,11685028,11685217,11686041,
NM_143437	CG2310	chr3R	-	25317265	25319240	25317469	25318443	4	25317265,25317892,25318117,25319167,	25317831,25317960,25318473,25319240,
NM_001104318	cv-c	chr3R	-	10217404	10307435	10218496	10258902	16	10217404,10218673,10218926,10219253,10219832,10221596,10225440,10233875,10234401,10235538,10242155,10252758,10257695,10277675,10306363,10307301,	10218611,10218853,10219199,10219740,10221477,10221748,10225512,10233918,10235287,10236209,10242755,10253483,10258927,10277728,10306634,10307435,
NM_137330	ste24b	chr2R	-	12886114	12887631	12886207	12887604	2	12886114,12887502,	12887449,12887631,
NM_137331	ste24a	chr2R	-	12887765	12889446	12887860	12889367	2	12887765,12889274,	12889123,12889446,
NM_140174	CG7839	chr3L	+	11067868	11071863	11067960	11071739	5	11067868,11068754,11068928,11070562,11071497,	11068689,11068869,11070503,11071426,11071863,
NM_136003	CG6412	chr2L	-	17499265	17501114	17499398	17500668	3	17499265,17500034,17500491,	17499929,17500283,17501114,
NM_170428	CG7834	chr3R	-	25627454	25628566	25627670	25628562	2	25627454,25628511,	25628381,25628566,
NM_143469	CG7837	chr3R	-	25621418	25625055	25621563	25624991	8	25621418,25622530,25622667,25623291,25623563,25623959,25624630,25624829,	25622472,25622606,25623215,25623498,25623902,25624553,25624723,25625055,
NM_140156	CG6418	chr3L	-	10869214	10872137	10869669	10872045	1	10869214,	10872137,
NM_131937	CHOp24	chrX	+	4434940	4436559	4435035	4436089	3	4434940,4435249,4435939,	4435177,4435584,4436559,
NM_164894	CG5694	chr2L	-	10227759	10231689	10227860	10229950	5	10227759,10229184,10229413,10229704,10231282,	10229126,10229346,10229611,10229955,10231689,
NM_139595	Rcd5	chr3L	+	4040528	4042597	4040628	4042487	3	4040528,4040966,4041752,	4040903,4041693,4042597,
NM_001201793	Rcd4	chr2L	+	8382912	8384447	8382955	8383619	2	8382912,8383334,	8383270,8384447,
NM_206487	Sp212	chr3R	-	10047802	10049877	10047849	10049801	4	10047802,10048473,10049364,10049603,	10048255,10049254,10049530,10049877,
NM_166913	CG32801	chrX	-	1796044	1797210	1796184	1796820	2	1796044,1796654,	1796495,1797210,
NM_130601	CG32803	chrX	-	1794725	1795944	1794798	1795835	4	1794725,1795097,1795469,1795832,	1795046,1795310,1795647,1795944,
NM_140794	Chmp1	chr3L	-	18675994	18677161	18676318	18677001	2	18675994,18676979,	18676908,18677161,
NM_133017	CG8142	chrX	-	17737375	17738700	17737452	17738652	3	17737375,17737601,17738545,	17737539,17738469,17738700,
NM_079078	Acox57D-p	chr2R	+	17273858	17276764	17274186	17276636	7	17273858,17274419,17274646,17275002,17275469,17276155,17276375,	17274328,17274582,17274939,17275408,17276082,17276311,17276764,
NM_143554	Rpt6R	chr3R	-	26407919	26409419	26407990	26409245	2	26407919,26409097,	26409042,26409419,
NM_079079	Acox57D-d	chr2R	+	17276900	17279942	17277003	17279820	8	17276900,17277563,17277787,17278142,17278602,17279165,17279344,17279559,	17277145,17277726,17278080,17278548,17279109,17279271,17279500,17279942,
