Database of representative transcript models for protein-coding genes in mouse liver cells and for the poly(A)-tail length standards.
Transcript models from the UCSC refFlat table for mouse had their 3' ends re-annotated using 3P-Seq (Jan et al., Nature 2011) data from mouse liver; only genes detected by 3P-Seq are included in the table.
Coordinates of mouse genes are based on the mm9 genome assembly.
RefseqAccession	GeneSymbol	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
NM_008549	Man2a1	chr17	+	64950988	65104449	64951075	65101912	22	64950988,64973867,64974646,64985823,65000535,65008240,65016076,65018751,65021187,65024404,65029091,65030894,65060043,65061591,65062901,65063937,65080543,65083063,65084273,65090019,65100123,65101753,	64951210,64974119,64974791,64985995,65000663,65008414,65016263,65018929,65021390,65024587,65029206,65030965,65060209,65061813,65063024,65064052,65080677,65083205,65084407,65090223,65100234,65104449,
NM_009739	Bckdk	chr7	+	135047586	135053741	135048444	135051825	12	135047586,135048276,135048735,135048883,135049262,135049386,135049585,135049862,135050732,135050955,135051434,135051680,	135047683,135048639,135048804,135048994,135049310,135049506,135049684,135049936,135050861,135051045,135051593,135053741,
NM_198604	Plekhg6	chr6	-	125312656	125330522	125312875	125328857	17	125312656,125313059,125314601,125320398,125320599,125322075,125322495,125322830,125323124,125324546,125324991,125325260,125325741,125327399,125328719,125329772,125330367,	125312885,125313737,125314753,125320514,125320732,125322195,125322633,125322980,125323235,125324696,125325042,125325356,125325906,125327555,125328928,125329994,125330522,
NM_021423	Shank3	chr15	+	89330287	89390688	89330287	89388754	22	89330287,89330645,89331834,89333550,89333733,89333970,89334227,89334747,89335820,89351533,89354456,89355590,89361773,89362056,89362525,89362759,89363804,89368445,89373530,89374224,89378056,89388165,	89330350,89330849,89331906,89333659,89333885,89334138,89334344,89334825,89335887,89351804,89354650,89355704,89361849,89362139,89362650,89362892,89363885,89368469,89373661,89374309,89380313,89390688,
NM_001113373	Shank2	chr7	+	151361424	151609963	151361824	151607040	16	151361424,151365659,151372724,151378321,151444969,151470959,151472546,151581367,151582255,151582542,151584145,151591234,151593025,151593960,151595366,151606463,	151361861,151365978,151372894,151378435,151445045,151471042,151472671,151581503,151582336,151582551,151584166,151591365,151593137,151593981,151597773,151609963,
NM_021889	Syt9	chr7	+	114514303	114692162	114514516	114690042	7	114514303,114568560,114579788,114645606,114647675,114650002,114690033,	114514661,114568912,114580335,114645727,114647847,114650132,114692162,
NM_027696	Mier1	chr4	+	102786994	102838351	102790860	102835356	15	102786994,102788164,102790843,102799877,102803570,102811962,102812715,102813441,102815738,102820903,102821728,102823138,102828091,102832286,102835027,	102787124,102788265,102790920,102799902,102803716,102812121,102812848,102813506,102815811,102821055,102821810,102823233,102828219,102832426,102838351,
NM_027422	Mier2	chr10	-	79002994	79017836	79003922	79017827	14	79002994,79004258,79005149,79005341,79007264,79007433,79007789,79010399,79011098,79011530,79011928,79012281,79013060,79017818,	79003944,79004679,79005226,79005466,79007359,79007515,79007941,79010469,79011187,79011648,79012054,79012424,79013151,79017836,
NM_016663	Syt3	chr7	+	51639495	51655398	51641340	51654521	11	51639495,51640175,51641298,51645865,51647768,51648718,51650779,51651008,51651272,51654455,51654905,	51639546,51640319,51641491,51646394,51648141,51648937,51650900,51651180,51651405,51654523,51655398,
NM_009308	Syt4	chr18	-	31597959	31607069	31599836	31606821	4	31597959,31601246,31603104,31606787,	31600144,31601367,31603919,31607069,
NM_009957	Pcdha7	chr18	+	37133577	37346544	37133577	37344910	4	37133577,37315808,37318918,37344599,	37135932,37315867,37319007,37346544,
NM_145487	Prr3	chr17	-	36110037	36116412	36110641	36116183	4	36110037,36111467,36115325,36116071,	36110748,36111758,36115388,36116412,
NM_026085	Pbld2	chr10	+	62487259	62521559	62501896	62520501	10	62487259,62501836,62510215,62510689,62514948,62515176,62516611,62517074,62519526,62520388,	62487484,62501980,62510315,62510788,62515058,62515206,62516700,62517253,62519589,62521559,
NM_026977	Cnppd1	chr1	-	75132343	75138942	75132972	75138058	9	75132343,75133899,75134328,75135920,75136132,75136394,75137471,75137989,75138631,	75133506,75134017,75134390,75136049,75136253,75136476,75137580,75138077,75138942,
NM_175105	Aqp11	chr7	-	104872525	104886757	104875134	104886497	3	104872525,104877480,104885878,	104875214,104877597,104886757,
NM_175684	Fchsd1	chr18	-	38117084	38129385	38119242	38129380	20	38117084,38119431,38120900,38122226,38122573,38122781,38122946,38123661,38123967,38124444,38125304,38125552,38126094,38127016,38127191,38127413,38127867,38128403,38129008,38129359,	38119308,38119487,38120988,38122447,38122691,38122865,38123075,38123823,38124072,38124564,38125400,38125675,38126223,38127080,38127328,38127549,38127935,38128449,38129106,38129385,
NM_010569	Invs	chr4	+	48292631	48444824	48296121	48442580	17	48292631,48296097,48320554,48394976,48397976,48402830,48405455,48409106,48410376,48410921,48415704,48420469,48428777,48434318,48438866,48439905,48442476,	48292847,48296227,48320721,48395150,48398144,48403011,48405565,48409278,48410532,48411151,48415811,48420682,48429070,48435021,48439096,48439980,48444824,
NM_007592	Car8	chr4	-	8070516	8166188	8096777	8166101	9	8070516,8096742,8110399,8111730,8112722,8116443,8148696,8165065,8165998,	8073363,8096912,8110512,8111779,8112785,8116539,8148821,8165257,8166188,
NM_010017	Dag1	chr9	-	108107197	108166146	108109589	108120622	4	108107197,108120343,108155431,108165811,	108111992,108120741,108155488,108166146,
NM_001093764	Myadm	chr7	+	3289038	3299356	3296724	3297687	3	3289038,3293203,3296722,	3289326,3293292,3299356,
NM_010660	Krt10	chr11	-	99246571	99250678	99246943	99250646	8	99246571,99247244,99247844,99248311,99248543,99248811,99249323,99250052,	99246950,99247583,99248062,99248437,99248705,99248968,99249406,99250678,
NM_153790	Scarf2	chr16	+	17797374	17808384	17797471	17807677	11	17797374,17802459,17802608,17802872,17803474,17803829,17804398,17804578,17804901,17806441,17806844,	17797620,17802518,17802710,17803392,17803693,17803958,17804502,17804696,17805017,17806594,17808384,
NM_016699	Exosc10	chr4	+	147932535	147956503	147932576	147956423	25	147932535,147933656,147935121,147936415,147936821,147937129,147937952,147938221,147938708,147939312,147940387,147942475,147942759,147944495,147947027,147947219,147947386,147949917,147950258,147952526,147953489,147954467,147955210,147955866,147956392,	147932687,147933793,147935245,147936520,147936987,147937244,147938028,147938332,147938852,147939503,147940544,147942624,147942810,147944607,147947078,147947298,147947493,147950013,147950333,147952614,147953566,147954639,147955272,147955943,147956503,
NM_009883	Cebpb	chr2	+	167514414	167515909	167514521	167515412	1	167514414,	167515909,
NM_007678	Cebpa	chr7	+	35904311	35906944	35904437	35905517	1	35904311,	35906944,
NM_001110204	Acvr1	chr2	-	58298850	58419239	58299949	58352961	13	58298850,58300724,58311295,58315291,58320924,58326583,58330015,58332075,58352894,58359687,58368434,58390188,58419197,	58300084,58300855,58311493,58315567,58321071,58326683,58330227,58332339,58352968,58359932,58368711,58390284,58419239,
NM_007679	Cebpd	chr16	+	15887378	15888558	15887417	15888224	1	15887378,	15888558,
NM_001142804	Acss3	chr10	-	106370572	106560720	106373219	106560639	16	106370572,106374199,106374459,106385711,106389029,106400017,106404003,106425861,106441719,106460709,106460912,106482268,106486419,106490383,106521862,106560343,	106373288,106374375,106374559,106385834,106389111,106400081,106404099,106425965,106441871,106460805,106460993,106482409,106486554,106490572,106522007,106560720,
NM_001013607	Vmo1	chr11	-	70326990	70328118	70327069	70328104	3	70326990,70327682,70327912,	70327367,70327798,70328118,
NM_024211	Slc25a11	chr11	-	70457700	70460541	70458267	70460364	8	70457700,70458540,70458671,70458851,70459031,70459285,70459577,70460269,	70458423,70458592,70458771,70458942,70459122,70459492,70459730,70460541,
NM_019811	Acss2	chr2	+	155343778	155388477	155343842	155387816	18	155343778,155347716,155374926,155375211,155375534,155375838,155376090,155381589,155382068,155382513,155382832,155383045,155383284,155384326,155386357,155386765,155387481,155387688,	155344020,155347912,155375018,155375315,155375607,155375914,155376205,155381727,155382239,155382647,155382965,155383102,155383365,155384435,155386426,155386942,155387556,155388477,
NM_001024806	Cebpz	chr17	-	79318344	79336410	79319220	79336370	16	79318344,79319888,79320061,79320974,79321469,79321853,79322575,79323785,79325253,79325422,79326208,79328617,79330649,79331449,79333914,79336214,	79319357,79319970,79320120,79321061,79321654,79321911,79322676,79323852,79325322,79325525,79326262,79328706,79330836,79331681,79335407,79336410,
NM_025859	Arl1	chr10	+	88194158	88206803	88194305	88205798	6	88194158,88196287,88198642,88199835,88204651,88205767,	88194309,88196425,88198724,88199947,88204830,88206803,
NM_175433	Zfp710	chr7	+	87171113	87237636	87225962	87235390	5	87171113,87225934,87230836,87231319,87235220,	87171369,87227426,87231028,87231494,87237636,
NM_009799	Car1	chr3	-	14766220	14808365	14766535	14778384	8	14766220,14767403,14770170,14770807,14776217,14777728,14778347,14808301,	14766652,14767559,14770233,14770903,14776336,14777926,14778408,14808365,
NM_001102407	Rbm8a	chr3	+	96433850	96436833	96433884	96435657	6	96433850,96434224,96434399,96434788,96435354,96435611,	96433951,96434284,96434477,96434925,96435491,96436833,
NM_027264	Zfp715	chr7	-	50551894	50568631	50553243	50566535	5	50551894,50556539,50556980,50566400,50568473,	50555546,50556635,50557107,50566555,50568631,
NM_010806	Mllt4	chr17	+	13897547	14042800	13897680	14041014	33	13897547,13940945,13944286,13945938,13947416,13955127,13959272,13960297,13962949,13965935,13966876,13969374,13972244,13983278,13983440,13986114,13986574,13987786,13989322,13992220,13996879,13998775,14018291,14018857,14019389,14020747,14021575,14022328,14024988,14033094,14035951,14039536,14040860,	13897785,13941141,13944399,13946102,13947577,13955285,13959384,13960465,13962994,13966030,13967139,13969444,13972363,13983340,13983646,13986260,13986669,13988052,13989466,13992419,13996983,13998862,14018357,14018931,14019508,14020942,14021667,14022514,14025984,14033229,14036234,14039621,14042800,
NM_139311	Mllt6	chr11	+	97524725	97546764	97524885	97542901	20	97524725,97526268,97526799,97527043,97528103,97528388,97530737,97531566,97533770,97534773,97535751,97536087,97537452,97537683,97538175,97538461,97539627,97540278,97541783,97542859,	97524994,97526348,97526854,97527153,97528207,97528482,97530950,97531665,97533906,97535385,97535933,97536196,97537519,97537826,97538373,97538550,97539977,97540369,97542140,97546764,
NM_022328	Mllt1	chr17	-	57030811	57074811	57033884	57074697	12	57030811,57034089,57034253,57034421,57035631,57036802,57039191,57041985,57045134,57059322,57066414,57074685,	57034013,57034161,57034325,57034521,57035740,57036890,57039719,57042111,57045278,57059405,57066595,57074811,
NM_027326	Mllt3	chr4	-	87419145	87679311	87419918	87678999	11	87419145,87428190,87429552,87435190,87437756,87439839,87486585,87519741,87525969,87677427,87678987,	87420050,87428262,87429624,87435290,87437886,87439915,87487293,87519885,87526052,87677608,87679311,
NM_030112	Rtf1	chr2	+	119500803	119560611	119500803	119558627	18	119500803,119517851,119526853,119531174,119536700,119537744,119545901,119546810,119550560,119552452,119552628,119553273,119554130,119554414,119555629,119556390,119558139,119558520,	119501016,119517962,119527001,119531379,119536815,119537856,119546037,119546988,119550643,119552540,119552736,119553351,119554252,119554472,119555707,119556486,119558251,119560611,
NM_008528	Blnk	chr19	-	41003423	41069025	41003662	41068548	17	41003423,41008916,41010762,41012140,41013856,41014661,41017791,41018616,41019976,41025443,41026840,41034188,41036834,41038732,41042988,41047075,41068501,	41003782,41009072,41010846,41012217,41013888,41014746,41017834,41018644,41020046,41025515,41026922,41034352,41036991,41038773,41043038,41047141,41069025,
NM_172741	4931406P16Rik	chr7	-	35021725	35070628	35023947	35070215	13	35021725,35024762,35025527,35027258,35029984,35033125,35039005,35041430,35042365,35042650,35043031,35048571,35069720,	35024256,35024841,35025665,35027424,35030997,35033251,35039103,35041589,35042527,35042746,35043172,35048769,35070628,
NM_172877	Pramef8	chr4	+	143002328	143010995	143006568	143009308	5	143002328,143005251,143006542,143007275,143008740,	143002994,143005316,143006855,143007863,143010995,
NM_001033328	BC023829	chrX	-	67712927	67730218	67714222	67730190	6	67712927,67715365,67716019,67720328,67723292,67730152,	67714467,67715489,67716196,67720536,67723469,67730218,
NM_007807	Cybb	chrX	-	9012622	9046450	9015342	9046376	13	9012622,9017020,9019658,9021673,9023818,9026766,9027807,9030711,9032259,9034085,9042769,9044208,9046331,	9015469,9017145,9019805,9021836,9024072,9026859,9027937,9030902,9032405,9034170,9042880,9044304,9046450,
NM_025533	Nosip	chr7	+	52317798	52333569	52328864	52332753	9	52317798,52328859,52329351,52329975,52331438,52331679,52331921,52332190,52332681,	52317901,52328934,52329457,52330057,52331598,52331798,52332109,52332299,52333569,
NM_026095	Snrpd3	chr10	+	74980786	74998207	74982079	74998067	4	74980786,74982058,74994921,74998005,	74980870,74982205,74995114,74998207,
NM_007570	Btg2	chr1	-	135971905	135975732	135973945	135975630	2	135971905,135975488,	135974280,135975732,
NM_007569	Btg1	chr10	+	96079634	96084643	96079958	96081277	2	96079634,96080909,	96080106,96084643,
NM_001081189	Uprt	chrX	+	101678120	101702827	101678299	101701601	7	101678120,101691074,101693613,101694742,101697083,101699667,101701494,	101678688,101691117,101693683,101694805,101697245,101699766,101702827,
NM_008694	Ngp	chr9	+	110322311	110325513	110322365	110324913	4	110322311,110323316,110324199,110324775,	110322542,110323418,110324286,110325513,
NM_001081069	Rgs11	chr17	+	26339906	26348262	26339917	26347675	17	26339906,26340240,26340406,26340522,26341276,26341431,26341795,26342052,26342651,26344243,26344340,26344490,26344703,26344936,26345108,26347401,26347563,	26339986,26340337,26340457,26340629,26341328,26341490,26341872,26342134,26342720,26344267,26344402,26344604,26344819,26345024,26345247,26347484,26348262,
NM_172503	Zswim4	chr8	-	86734842	86760941	86735844	86760903	14	86734842,86737921,86741143,86743724,86747118,86747569,86748041,86749714,86750570,86752690,86752921,86754639,86758801,86760765,	86736704,86738003,86741307,86743879,86747254,86747824,86748179,86750065,86750738,86752841,86753070,86754996,86759003,86760941,
NM_001029912	Zswim5	chr4	+	116550006	116661867	116550064	116659938	14	116550006,116623429,116631282,116635114,116638200,116645475,116647800,116648441,116652028,116652489,116653379,116657287,116658286,116659075,	116550668,116623786,116631431,116635265,116638380,116645652,116647947,116648579,116652289,116652625,116653537,116657451,116658368,116661867,
NM_145456	Zswim6	chr13	-	108514703	108680258	108516514	108680243	15	108514703,108518651,108520306,108521128,108523878,108528451,108530312,108533615,108534040,108538263,108559639,108563452,108577846,108679590,108679772,	108517377,108518733,108520470,108521286,108524014,108528712,108530459,108533762,108534217,108538443,108559790,108563601,108578203,108679771,108680258,
NM_007806	Cyba	chr8	-	124948674	124956840	124948777	124956767	6	124948674,124950085,124950835,124951128,124951554,124956709,	124948987,124950167,124950919,124951203,124951624,124956840,
NM_028028	Zswim1	chr2	+	164648185	164652366	164650329	164651697	2	164648185,164650181,	164648700,164652366,
NM_153092	Nupl2	chr5	+	23670780	23689825	23670894	23688294	7	23670780,23673160,23675113,23681271,23683817,23686898,23687725,	23671021,23673383,23675208,23681348,23683904,23686983,23689825,
NM_178375	Zswim3	chr2	+	164630613	164647626	164630776	164647189	2	164630613,164645256,	164630931,164647626,
NM_008681	Ndrg1	chr15	-	66760882	66801203	66762428	66792096	16	66760882,66765425,66767814,66768759,66769428,66770204,66771704,66773573,66774626,66775565,66776337,66777993,66779940,66790923,66792033,66801065,	66762670,66765477,66767850,66768807,66769480,66770261,66771808,66773630,66774713,66775626,66776400,66778114,66780046,66790959,66792114,66801203,
NM_013864	Ndrg2	chr14	-	52524956	52533163	52525814	52531215	16	52524956,52526187,52526364,52526623,52526920,52527259,52527742,52528004,52528242,52528548,52529732,52529989,52530354,52530760,52531140,52532997,	52525981,52526239,52526400,52526671,52526972,52527304,52527846,52528061,52528329,52528609,52529795,52530110,52530460,52530802,52531221,52533163,
NM_013865	Ndrg3	chr2	-	156753084	156817847	156754435	156795829	16	156753084,156756951,156757165,156760677,156763062,156763221,156764286,156766092,156769722,156770120,156771752,156773977,156775769,156784202,156795772,156817734,	156754617,156757003,156757201,156760725,156763114,156763287,156764390,156766149,156769809,156770181,156771815,156774098,156775875,156784238,156795874,156817847,
NM_027996	Zswim8	chr14	+	21526773	21542839	21527070	21542564	26	21526773,21529858,21530249,21530679,21531012,21531258,21531463,21532197,21532551,21533104,21535173,21535443,21535720,21536131,21537089,21537648,21537981,21538218,21538601,21539034,21540392,21541091,21541364,21541681,21542049,21542360,	21527278,21530012,21530344,21530852,21531120,21531340,21531584,21532399,21532727,21534089,21535305,21535623,21535904,21536230,21537214,21537889,21538140,21538447,21538894,21539258,21540881,21541251,21541541,21541801,21542228,21542839,
NM_026453	Mak16	chr8	-	32267867	32279196	32270860	32279151	10	32267867,32271230,32272193,32273502,32275189,32276533,32276845,32276994,32277181,32279136,	32271049,32271296,32272307,32273577,32275244,32276685,32276910,32277104,32277231,32279196,
NM_030188	Ttc30a1	chr2	-	75817175	75820024	75817799	75819794	1	75817175,	75820024,
NM_010376	H13	chr2	+	152495196	152530786	152495317	152530460	12	152495196,152503277,152506786,152511833,152514398,152514572,152515579,152517528,152520222,152521217,152525918,152530357,	152495500,152503376,152506869,152511922,152514484,152514698,152515637,152517612,152520259,152521320,152526004,152530786,
NM_009330	Hnf1b	chr11	+	83664370	83719423	83664550	83718433	9	83664370,83669405,83675217,83677444,83696154,83702550,83706883,83709723,83718412,	83664894,83669605,83675482,83677680,83696315,83702686,83707078,83709842,83719423,
NM_173048	Gga3	chr11	-	115445564	115465230	115447043	115465181	17	115445564,115447399,115447629,115448309,115448719,115449249,115449625,115450169,115450368,115451709,115452200,115452576,115452943,115453745,115456019,115456222,115465141,	115447154,115447510,115447799,115448515,115449030,115449317,115449859,115450286,115450450,115451847,115452281,115452680,115453067,115453844,115456095,115456307,115465230,
NM_009327	Hnf1a	chr5	-	115398834	115421071	115400069	115420853	10	115398834,115400702,115400934,115402587,115403335,115403647,115405258,115405824,115410024,115420527,	115400194,115400847,115401053,115402779,115403537,115403796,115405500,115406011,115410224,115421071,
NM_019722	Arl2	chr19	-	6134385	6141137	6134666	6141101	5	6134385,6135978,6137477,6137729,6141036,	6134801,6136059,6137640,6137840,6141137,
NM_011366	Sorbs3	chr14	-	70578628	70607478	70580976	70607434	21	70578628,70583472,70583813,70584634,70586665,70590534,70590822,70590954,70591239,70591892,70592413,70593212,70593367,70593667,70595219,70595729,70599088,70601155,70602737,70603078,70607330,	70581038,70583579,70583914,70584943,70586791,70590649,70590869,70591007,70591382,70591954,70592500,70593266,70593454,70593758,70595313,70595768,70599152,70601349,70602855,70603223,70607478,
NM_172752	Sorbs2	chr8	+	46593141	46913257	46821546	46911160	23	46593141,46744156,46821506,46826840,46830773,46831070,46844406,46848372,46855182,46855899,46857887,46860942,46875329,46878134,46880331,46885063,46886318,46888985,46889186,46891006,46905072,46909082,46911098,	46593311,46744295,46821556,46826933,46830800,46831195,46844545,46848545,46855249,46855944,46858062,46861057,46875379,46878322,46881912,46885155,46886365,46889100,46889315,46891207,46905122,46909189,46913257,
NM_009324	Tbx2	chr11	+	85646116	85656818	85646608	85654516	7	85646116,85648121,85649296,85650554,85650727,85651345,85654069,	85647003,85648389,85649443,85650631,85650891,85651983,85656818,
NM_181414	Pik3c3	chr18	+	30432549	30507772	30432604	30507391	25	30432549,30433922,30436625,30441610,30448404,30450124,30452712,30453272,30453989,30458226,30462573,30463219,30464628,30470873,30472205,30476496,30479154,30479887,30481823,30483175,30484197,30492814,30495747,30503604,30507376,	30432672,30434111,30436769,30441740,30448491,30450220,30452784,30453377,30454082,30458412,30462728,30463310,30464696,30470979,30472322,30476628,30479283,30479957,30481888,30483260,30484272,30492983,30495838,30503730,30507772,
NM_181074	Lingo1	chr9	-	56465006	56533060	56467265	56469110	4	56465006,56501406,56522229,56532926,	56469122,56501639,56522316,56533060,
NM_011066	Per2	chr1	-	93312553	93355905	93314447	93347402	23	93312553,93315951,93316982,93317944,93320266,93324315,93325960,93327350,93327554,93329384,93329972,93331198,93331593,93332226,93334910,93336463,93337408,93341161,93342077,93345284,93346389,93347181,93355749,	93314597,93316102,93317175,93318131,93321063,93324555,93326125,93327457,93327717,93329469,93330098,93331307,93331747,93332333,93334989,93336606,93337460,93341363,93342199,93345439,93346455,93347420,93355905,
NM_080455	Tshz2	chr2	+	169459145	169714241	169459239	169712078	2	169459145,169709025,	169459279,169714241,
NM_172298	Tshz3	chr7	+	37483136	37558570	37483268	37556852	2	37483136,37553646,	37483308,37558570,
NM_021345	Ptplad1	chr9	-	64834798	64869524	64836259	64869350	11	64834798,64838123,64838780,64840063,64846001,64848787,64852063,64853414,64854367,64858280,64869263,	64836336,64838255,64838887,64840176,64846129,64848898,64852115,64853579,64854441,64858323,64869524,
NM_008380	Inhba	chr13	+	16106307	16120634	16109128	16118962	3	16106307,16109014,16118075,	16106365,16109516,16120634,
NM_008381	Inhbb	chr1	-	121312535	121318825	121313898	121317663	2	121312535,121317203,	121314674,121318825,
NM_010565	Inhbc	chr10	-	126793382	126807600	126794142	126807452	2	126793382,126807136,	126794885,126807600,
NM_008382	Inhbe	chr10	-	126785912	126788828	126787312	126788601	2	126785912,126788303,	126788067,126788828,
NM_009306	Syt1	chr10	-	107934706	108448031	107937595	108128102	11	107934706,107941452,108020929,108064308,108068851,108073606,108079269,108127939,108268161,108339270,108447631,	107937802,107941586,108021047,108064476,108069019,108073729,108079454,108128119,108268227,108339371,108448031,
NM_001083628	Greb1l	chr18	+	10325176	10562931	10458222	10560481	33	10325176,10449927,10458219,10458575,10469339,10474216,10476663,10498948,10499881,10500938,10503155,10509080,10510625,10511326,10515191,10522085,10523204,10529573,10532792,10537061,10538129,10541640,10542340,10544444,10544866,10547007,10547278,10553700,10554821,10555883,10557237,10558783,10560317,	10325287,10450034,10458379,10458773,10469516,10474393,10476786,10499065,10500001,10501076,10503341,10509407,10510754,10511461,10515389,10522266,10523397,10529704,10533132,10537177,10538374,10542188,10542443,10544600,10545006,10547169,10547483,10553866,10555049,10556025,10557438,10558922,10562931,
NM_025479	Mplkip	chr13	+	17787246	17789167	17787318	17788876	2	17787246,17788675,	17787654,17789167,
NM_022417	Itm2c	chr1	+	87791084	87805237	87791238	87804213	6	87791084,87799584,87801788,87802996,87803582,87804121,	87791364,87799725,87801977,87803107,87803733,87805237,
NM_001039488	Lrif1	chr3	+	106524599	106539499	106524962	106538766	4	106524599,106534580,106537275,106538322,	106525024,106536060,106537557,106539499,
NM_172593	Mier3	chr13	+	112476385	112508801	112476553	112505349	13	112476385,112478035,112481443,112493836,112495429,112496209,112496845,112498421,112499933,112501893,112504448,112504652,112504891,	112476562,112478060,112481589,112493971,112495550,112496295,112496921,112498573,112500015,112501988,112504576,112504795,112508801,
NM_010780	Cma1	chr14	-	56560294	56563498	56560490	56563408	5	56560294,56560962,56561399,56562535,56563311,	56560634,56561217,56561535,56562686,56563498,
NM_138598	Fam104a	chr11	-	113522629	113545465	113524623	113545399	3	113522629,113538617,113545175,	113524857,113538717,113545465,
NM_172381	AI314180	chr4	-	58810113	58925597	58813052	58925369	49	58810113,58814604,58816541,58818412,58820622,58822267,58822553,58823487,58824242,58824580,58824723,58825515,58826863,58828130,58830271,58832014,58832999,58834234,58834907,58837037,58837569,58839273,58839908,58840879,58841378,58843205,58845575,58846797,58847368,58848993,58853546,58854254,58855439,58856950,58859870,58862551,58862758,58863775,58865987,58866522,58874396,58877218,58882286,58885460,58888295,58889916,58891889,58898239,58925347,	58813192,58814676,58816630,58818518,58820761,58822460,58822597,58823696,58824434,58824647,58824815,58825582,58826953,58828196,58830422,58832136,58833047,58834340,58834987,58837205,58837687,58839342,58840023,58840934,58841524,58843329,58845677,58846970,58847531,58849128,58853638,58854477,58855520,58857074,58859974,58862674,58862825,58863825,58866066,58866608,58874516,58877300,58882426,58885632,58888445,58890035,58892006,58898370,58925597,
NM_027296	Trnt1	chr6	+	106719131	106732457	106719849	106729428	9	106719131,106719823,106723278,106724399,106726112,106727911,106728781,106729179,106731640,	106719185,106719997,106723472,106724538,106726239,106728105,106729035,106729461,106732457,
NM_178669	Clrn3	chr7	-	142704445	142720337	142705621	142720186	3	142704445,142710129,142719957,	142705893,142710309,142720337,
NM_008410	Itm2b	chr14	-	73762034	73785078	73762864	73784933	6	73762034,73764348,73765558,73766127,73768105,73784816,	73762950,73764499,73765669,73766334,73768234,73785078,
