Database of representative transcript models for protein-coding genes in S. cerevisiae and for the poly(A)-tail length standards.
Transcript models are from the Saccharomyces Genome Database, with 3' ends reannotated by David Weinberg.
Coordinates of yeast genes are based on the sacCer3 genome assembly.
GeneID	GeneID	Chromosome	Strand	TxStart	TxEnd	CdsStart	CdsEnd	ExonCount	ExonStarts	ExonEnds
YAR035W	YAR035W	chrI	+	190192	192256	190192	192256	1	190192,	192256,
YAR042W	YAR042W	chrI	+	192618	196185	192618	196185	1	192618,	196185,
YER054C	YER054C	chrV	-	262051	263698	262051	263698	1	262051,	263698,
YER114C	YER114C	chrV	-	390589	393712	390589	393712	1	390589,	393712,
YER169W	YER169W	chrV	+	523147	525934	523368	525759	1	523147,	525934,
YEL073C	YEL073C	chrV	-	7229	7553	7229	7553	1	7229,	7553,
YEL072W	YEL072W	chrV	+	13719	14415	13719	14415	1	13719,	14415,
YEL071W	YEL071W	chrV	+	16340	17943	16354	17845	1	16340,	17943,
YEL067C	YEL067C	chrV	-	26188	26776	26188	26776	1	26188,	26776,
YEL066W	YEL066W	chrV	+	26666	27206	26666	27206	1	26666,	27206,
YEL065W	YEL065W	chrV	+	27635	29620	27656	29543	1	27635,	29620,
YEL064C	YEL064C	chrV	-	29547	31273	29796	31239	1	29547,	31273,
YEL063C	YEL063C	chrV	-	31406	33698	31693	33466	1	31406,	33698,
YEL062W	YEL062W	chrV	+	34392	36393	34406	36254	1	34392,	36393,
YEL061C	YEL061C	chrV	-	36449	39634	36534	39537	1	36449,	39634,
YEL060C	YEL060C	chrV	-	39817	42009	40045	41953	1	39817,	42009,
YEL059C-A	YEL059C-A	chrV	-	42335	42654	42399	42624	1	42335,	42654,
YEL058W	YEL058W	chrV	+	43212	45041	43251	44925	1	43212,	45041,
YEL057C	YEL057C	chrV	-	45019	45721	45019	45721	1	45019,	45721,
YEL056W	YEL056W	chrV	+	47115	48479	47167	48373	1	47115,	48479,
YEL055C	YEL055C	chrV	-	48371	51635	48470	51539	1	48371,	51635,
YEL053C	YEL053C	chrV	-	53817	56149	53900	56102	1	53817,	56149,
YEL052W	YEL052W	chrV	+	56506	58166	56570	58100	1	56506,	58166,
YEL051W	YEL051W	chrV	+	58326	59254	58377	59148	1	58326,	59254,
YEL050C	YEL050C	chrV	-	59523	60917	59669	60851	1	59523,	60917,
YEL048C	YEL048C	chrV	-	64137	65189	64708	65167	1	64137,	65189,
YEL047C	YEL047C	chrV	-	65310	66812	65384	66797	1	65310,	66812,
YEL046C	YEL046C	chrV	-	67047	68895	67628	68792	1	67047,	68895,
YEL044W	YEL044W	chrV	+	69726	70308	69756	70257	1	69726,	70308,
YEL043W	YEL043W	chrV	+	70463	73436	70477	73348	1	70463,	73436,
YEL042W	YEL042W	chrV	+	73685	75473	73770	75327	1	73685,	75473,
YEL041W	YEL041W	chrV	+	75938	78075	75943	77431	1	75938,	78075,
YEL040W	YEL040W	chrV	+	78035	79555	78052	79456	1	78035,	79555,
YEL038W	YEL038W	chrV	+	80413	81196	80461	81145	1	80413,	81196,
YEL037C	YEL037C	chrV	-	81232	82763	81406	82603	1	81232,	82763,
YEL036C	YEL036C	chrV	-	82969	84698	83049	84552	1	82969,	84698,
YEL035C	YEL035C	chrV	-	85044	85545	85044	85545	1	85044,	85545,
YEL034W	YEL034W	chrV	+	85675	86149	85675	86149	1	85675,	86149,
YEL032W	YEL032W	chrV	+	86884	89966	86936	89852	1	86884,	89966,
YEL031W	YEL031W	chrV	+	90225	94007	90257	93905	1	90225,	94007,
YEL030W	YEL030W	chrV	+	94643	96578	94643	96578	1	94643,	96578,
YEL029C	YEL029C	chrV	-	96740	97862	96857	97796	1	96740,	97862,
YEL027W	YEL027W	chrV	+	100756	101504	100768	101251	1	100756,	101504,
YEL026W	YEL026W	chrV	+	101851	102394	101942	102323	1	101851,	102394,
YEL025C	YEL025C	chrV	-	102316	106165	102580	106147	1	102316,	106165,
YEL024W	YEL024W	chrV	+	107197	108444	107259	107907	1	107197,	108444,
YEL023C	YEL023C	chrV	-	108503	110552	108503	110552	1	108503,	110552,
YEL022W	YEL022W	chrV	+	111314	115873	111420	115800	1	111314,	115873,
YEL020W-A	YEL020W-A	chrV	+	117210	117474	117210	117474	1	117210,	117474,
YEL020C	YEL020C	chrV	-	118616	120299	118616	120299	1	118616,	120299,
YEL019C	YEL019C	chrV	-	119655	121306	120497	121301	1	119655,	121306,
YEL018W	YEL018W	chrV	+	121445	122392	121470	122310	1	121445,	122392,
YEL017C-A	YEL017C-A	chrV	-	122330	122960	122797	122929	1	122330,	122960,
YEL017W	YEL017W	chrV	+	123625	124761	123656	124670	1	123625,	124761,
YEL016C	YEL016C	chrV	-	124736	126218	124736	126218	1	124736,	126218,
YEL015W	YEL015W	chrV	+	126586	128357	126628	128284	1	126586,	128357,
YEL013W	YEL013W	chrV	+	128824	130561	128824	130561	1	128824,	130561,
YEL012W	YEL012W	chrV	+	131625	132660	131771	132551	2	131625,131899,	131776,132660,
YEL011W	YEL011W	chrV	+	133087	135346	133119	135234	1	133087,	135346,
YEL009C	YEL009C	chrV	-	138822	140335	138917	139763	1	138822,	140335,
YEL006W	YEL006W	chrV	+	144302	145638	144326	145334	1	144302,	145638,
YEL005C	YEL005C	chrV	-	145906	146755	145906	146755	1	145906,	146755,
YEL004W	YEL004W	chrV	+	146925	148321	146950	147979	1	146925,	148321,
YEL003W	YEL003W	chrV	+	148175	148599	148175	148599	2	148175,148282,	148194,148599,
YEL002C	YEL002C	chrV	-	148575	150065	148721	150014	1	148575,	150065,
YEL001C	YEL001C	chrV	-	150300	150978	150300	150978	1	150300,	150978,
YER001W	YER001W	chrV	+	153503	156090	153519	155808	1	153503,	156090,
YER002W	YER002W	chrV	+	156802	157498	156802	157498	1	156802,	157498,
YER003C	YER003C	chrV	-	157671	159163	157735	159118	2	157671,159087,	158994,159163,
YER004W	YER004W	chrV	+	159570	160514	159579	160275	1	159570,	160514,
YER005W	YER005W	chrV	+	160549	162442	160549	162442	1	160549,	162442,
YER006W	YER006W	chrV	+	162694	164379	162722	164285	1	162694,	164379,
YER007W	YER007W	chrV	+	164504	166165	164526	166083	1	164504,	166165,
YER007C-A	YER007C-A	chrV	-	166068	166918	166236	166885	2	166068,166874,	166771,166918,
YER008C	YER008C	chrV	-	167723	171885	167807	171818	1	167723,	171885,
YER009W	YER009W	chrV	+	172079	172656	172114	172492	1	172079,	172656,
YER010C	YER010C	chrV	-	172544	173360	172633	173338	1	172544,	173360,
YER012W	YER012W	chrV	+	177771	178588	177834	178431	1	177771,	178588,
YER013W	YER013W	chrV	+	178840	182278	178840	182278	1	178840,	182278,
YER014W	YER014W	chrV	+	182544	184330	182599	184219	1	182544,	184330,
YER015W	YER015W	chrV	+	184540	186775	184540	186775	1	184540,	186775,
YER016W	YER016W	chrV	+	188255	189429	188276	189311	1	188255,	189429,
YER017C	YER017C	chrV	-	189502	191788	189502	191788	1	189502,	191788,
YER018C	YER018C	chrV	-	191958	192624	191958	192624	1	191958,	192624,
YER019W	YER019W	chrV	+	192796	194230	192796	194230	1	192796,	194230,
YER019C-A	YER019C-A	chrV	-	194228	194593	194272	194539	1	194228,	194593,
YER020W	YER020W	chrV	+	195167	196517	195167	196517	1	195167,	196517,
YER021W	YER021W	chrV	+	196935	198643	196947	198519	1	196935,	198643,
YER022W	YER022W	chrV	+	198780	200974	198811	200875	1	198780,	200974,
YER023W	YER023W	chrV	+	201038	202005	201075	201936	1	201038,	202005,
YER024W	YER024W	chrV	+	202191	204963	202191	204963	1	202191,	204963,
YER025W	YER025W	chrV	+	205223	207094	205250	206834	1	205223,	207094,
YER026C	YER026C	chrV	-	207541	208487	207643	208474	1	207541,	208487,
YER027C	YER027C	chrV	-	208748	210305	208978	210232	1	208748,	210305,
YER028C	YER028C	chrV	-	210691	211876	210691	211876	1	210691,	211876,
YER029C	YER029C	chrV	-	212501	213244	212586	213177	1	212501,	213244,
YER030W	YER030W	chrV	+	213434	214018	213436	213898	1	213434,	214018,
YER031C	YER031C	chrV	-	213935	214782	214075	214747	1	213935,	214782,
YER032W	YER032W	chrV	+	214985	217951	215062	217693	1	214985,	217951,
YER033C	YER033C	chrV	-	218056	221287	218056	221287	1	218056,	221287,
YER034W	YER034W	chrV	+	221845	222403	221845	222403	1	221845,	222403,
YER035W	YER035W	chrV	+	222638	223076	222638	223076	1	222638,	223076,
YER036C	YER036C	chrV	-	223280	225226	223366	225199	1	223280,	225226,
YER037W	YER037W	chrV	+	225888	226854	225888	226854	1	225888,	226854,
YER038C	YER038C	chrV	-	226110	228263	226857	228252	1	226110,	228263,
YER039C	YER039C	chrV	-	228455	229205	228455	229205	1	228455,	229205,
YER039C-A	YER039C-A	chrV	-	229262	229481	229262	229481	1	229262,	229481,
YER040W	YER040W	chrV	+	229711	232247	229794	231987	1	229711,	232247,
YER041W	YER041W	chrV	+	232406	234902	232460	234740	1	232406,	234902,
YER042W	YER042W	chrV	+	234915	235654	234936	235491	1	234915,	235654,
YER043C	YER043C	chrV	-	235551	237144	235769	237119	1	235551,	237144,
YER044C	YER044C	chrV	-	237402	238056	237569	238016	1	237402,	238056,
YER044C-A	YER044C-A	chrV	-	238459	239774	238459	239774	2	238459,239711,	239623,239774,
YER045C	YER045C	chrV	-	239904	241653	240031	241501	1	239904,	241653,
YER046W	YER046W	chrV	+	242512	243796	243179	243611	1	242512,	243796,
YER047C	YER047C	chrV	-	243809	246503	243809	246503	1	243809,	246503,
YER048C	YER048C	chrV	-	246830	248225	246981	248157	1	246830,	248225,
YER048W-A	YER048W-A	chrV	+	250680	251330	250717	251002	1	250680,	251330,
YER049W	YER049W	chrV	+	251708	253754	251727	253662	1	251708,	253754,
YER050C	YER050C	chrV	-	253858	254455	253970	254387	1	253858,	254455,
YER051W	YER051W	chrV	+	254655	256134	254655	256134	1	254655,	256134,
YER052C	YER052C	chrV	-	256262	258054	256374	257958	1	256262,	258054,
YER053C	YER053C	chrV	-	258582	259730	258736	259639	1	258582,	259730,
YER053C-A	YER053C-A	chrV	-	260562	261421	260932	261046	1	260562,	261421,
YER055C	YER055C	chrV	-	264807	265795	264891	265785	1	264807,	265795,
YER056C	YER056C	chrV	-	266392	268201	266511	268113	1	266392,	268201,
YER057C	YER057C	chrV	-	270652	271207	270736	271126	1	270652,	271207,
YER058W	YER058W	chrV	+	271704	272199	271767	272091	1	271704,	272199,
YER059W	YER059W	chrV	+	272413	273958	272623	273886	1	272413,	273958,
YER060W	YER060W	chrV	+	274426	276246	274566	276153	1	274426,	276246,
YER061C	YER061C	chrV	-	278244	279658	278297	279626	1	278244,	279658,
YER062C	YER062C	chrV	-	279929	280682	279929	280682	1	279929,	280682,
YER063W	YER063W	chrV	+	281647	282512	281709	282366	1	281647,	282512,
YER064C	YER064C	chrV	-	282448	284313	282704	284222	1	282448,	284313,
YER065C	YER065C	chrV	-	285123	287179	285240	286914	1	285123,	287179,
YER067W	YER067W	chrV	+	291979	292641	292065	292551	1	291979,	292641,
YER068W	YER068W	chrV	+	292965	294860	293049	294813	1	292965,	294860,
YER069W	YER069W	chrV	+	295356	298124	295409	298001	1	295356,	298124,
YER070W	YER070W	chrV	+	298895	301813	298949	301616	1	298895,	301813,
YER071C	YER071C	chrV	-	301946	302327	301946	302327	1	301946,	302327,
YER072W	YER072W	chrV	+	302786	303338	302805	303195	1	302786,	303338,
YER073W	YER073W	chrV	+	303948	305865	304029	305592	1	303948,	305865,
YER074W-A	YER074W-A	chrV	+	307652	308123	307652	308123	3	307652,307848,308067,	307746,307956,308123,
YER075C	YER075C	chrV	-	308293	311352	308412	311199	1	308293,	311352,
YER076C	YER076C	chrV	-	312589	313498	312589	313498	1	312589,	313498,
YER077C	YER077C	chrV	-	314533	316600	314533	316600	1	314533,	316600,
YER078C	YER078C	chrV	-	316806	318342	316806	318342	1	316806,	318342,
YER080W	YER080W	chrV	+	319945	322607	319962	321846	1	319945,	322607,
YER081W	YER081W	chrV	+	322685	324095	322685	324095	1	322685,	324095,
YER082C	YER082C	chrV	-	324118	325977	324271	325936	1	324118,	325977,
YER083C	YER083C	chrV	-	326135	327050	326173	327031	1	326135,	327050,
YER085C	YER085C	chrV	-	327618	328140	327618	328140	1	327618,	328140,
YER086W	YER086W	chrV	+	328476	330207	328476	330207	1	328476,	330207,
YER087W	YER087W	chrV	+	330536	332465	330575	332306	1	330536,	332465,
YER087C-B	YER087C-B	chrV	-	332373	332871	332581	332830	1	332373,	332871,
YER088C	YER088C	chrV	-	333175	335188	333175	335188	1	333175,	335188,
YER089C	YER089C	chrV	-	335945	337340	335945	337340	1	335945,	337340,
YER090W	YER090W	chrV	+	337880	339576	337948	339472	1	337880,	339576,
YER091C	YER091C	chrV	-	339638	342238	339863	342167	1	339638,	342238,
YER092W	YER092W	chrV	+	342854	343232	342854	343232	1	342854,	343232,
YER093C	YER093C	chrV	-	343319	347612	343319	347612	1	343319,	347612,
YER093C-A	YER093C-A	chrV	-	347791	348414	347911	348400	2	347791,348276,	348201,348414,
YER094C	YER094C	chrV	-	348574	349448	348728	349346	1	348574,	349448,
YER095W	YER095W	chrV	+	349911	351414	349979	351182	1	349911,	351414,
YER096W	YER096W	chrV	+	351697	353236	351697	353236	1	351697,	353236,
YER098W	YER098W	chrV	+	355282	358153	355465	357730	1	355282,	358153,
YER099C	YER099C	chrV	-	358030	359086	358104	359061	1	358030,	359086,
YER100W	YER100W	chrV	+	359482	360428	359561	360314	1	359482,	360428,
YER101C	YER101C	chrV	-	360501	361794	360501	361794	1	360501,	361794,
YER103W	YER103W	chrV	+	364588	366517	364588	366517	1	364588,	366517,
YER104W	YER104W	chrV	+	366782	367658	366801	367428	1	366782,	367658,
YER105C	YER105C	chrV	-	367723	372035	367837	372013	1	367723,	372035,
YER106W	YER106W	chrV	+	372325	373234	372325	373234	1	372325,	373234,
YER107C	YER107C	chrV	-	373309	374722	373447	374545	1	373309,	374722,
YER109C	YER109C	chrV	-	375214	377614	375214	377614	1	375214,	377614,
YER110C	YER110C	chrV	-	378650	382216	378761	382103	1	378650,	382216,
YER111C	YER111C	chrV	-	382594	385876	382594	385876	1	382594,	385876,
YER112W	YER112W	chrV	+	387189	387866	387231	387795	1	387189,	387866,
YER113C	YER113C	chrV	-	387793	390104	387931	390052	1	387793,	390104,
YER115C	YER115C	chrV	-	394291	394867	394291	394867	1	394291,	394867,
YER116C	YER116C	chrV	-	395347	396172	395347	396172	1	395347,	396172,
YER118C	YER118C	chrV	-	397951	399055	397951	399055	1	397951,	399055,
YER119C	YER119C	chrV	-	399400	400869	399495	400842	1	399400,	400869,
YER120W	YER120W	chrV	+	401107	402025	401134	401869	1	401107,	402025,
YER121W	YER121W	chrV	+	402374	402719	402374	402719	1	402374,	402719,
YER122C	YER122C	chrV	-	402870	404352	402870	404352	1	402870,	404352,
YER123W	YER123W	chrV	+	404638	406809	404812	406387	1	404638,	406809,
YER124C	YER124C	chrV	-	407019	409104	407341	409063	1	407019,	409104,
YER125W	YER125W	chrV	+	409683	412736	410188	412618	1	409683,	412736,
YER126C	YER126C	chrV	-	413204	414207	413393	414179	1	413204,	414207,
YER127W	YER127W	chrV	+	414458	415624	414480	415554	1	414458,	415624,
YER128W	YER128W	chrV	+	415858	416470	415858	416470	1	415858,	416470,
YER129W	YER129W	chrV	+	417280	420709	417280	420709	1	417280,	420709,
YER130C	YER130C	chrV	-	420889	422514	421114	422446	1	420889,	422514,
YER131W	YER131W	chrV	+	423568	424431	423951	424311	1	423568,	424431,
YER132C	YER132C	chrV	-	425187	430449	425187	430449	1	425187,	430449,
YER133W	YER133W	chrV	+	432424	434387	432494	433958	2	432424,433196,	432671,434387,
YER134C	YER134C	chrV	-	437121	437816	437266	437803	1	437121,	437816,
YER136W	YER136W	chrV	+	439539	441295	439615	440971	1	439539,	441295,
YER137C	YER137C	chrV	-	441233	441840	441372	441819	1	441233,	441840,
YER139C	YER139C	chrV	-	450562	451243	450562	451243	1	450562,	451243,
YER140W	YER140W	chrV	+	451496	453416	451564	453235	1	451496,	453416,
YER142C	YER142C	chrV	-	454990	456055	455145	456036	1	454990,	456055,
YER143W	YER143W	chrV	+	456311	457714	456318	457605	1	456311,	457714,
YER144C	YER144C	chrV	-	457675	460233	457805	460223	1	457675,	460233,
YER145C	YER145C	chrV	-	460425	461762	460525	461740	1	460425,	461762,
YER146W	YER146W	chrV	+	462584	462866	462584	462866	1	462584,	462866,
YER147C	YER147C	chrV	-	462864	464886	462967	464842	1	462864,	464886,
YER148W	YER148W	chrV	+	465302	466025	465302	466025	1	465302,	466025,
YER149C	YER149C	chrV	-	466129	467522	466207	467470	1	466129,	467522,
YER150W	YER150W	chrV	+	468254	468981	468369	468816	1	468254,	468981,
YER151C	YER151C	chrV	-	469616	472499	469685	472424	1	469616,	472499,
YER152C	YER152C	chrV	-	472656	473988	472656	473988	1	472656,	473988,
YER153C	YER153C	chrV	-	474040	474805	474040	474805	1	474040,	474805,
YER154W	YER154W	chrV	+	475014	476293	475019	476228	1	475014,	476293,
YER155C	YER155C	chrV	-	476192	482911	476344	482848	1	476192,	482911,
YER156C	YER156C	chrV	-	483210	484358	483324	484341	1	483210,	484358,
YER157W	YER157W	chrV	+	484770	487221	484787	487193	1	484770,	487221,
YER158C	YER158C	chrV	-	488856	490578	488856	490578	1	488856,	490578,
YER159C	YER159C	chrV	-	491529	491958	491529	491958	1	491529,	491958,
YER161C	YER161C	chrV	-	499075	500396	499346	500348	1	499075,	500396,
YER162C	YER162C	chrV	-	500519	502930	500629	502894	1	500519,	502930,
YER163C	YER163C	chrV	-	503040	503791	503083	503782	1	503040,	503791,
YER164W	YER164W	chrV	+	505391	509798	505391	509798	1	505391,	509798,
YER165W	YER165W	chrV	+	510229	512256	510372	512106	1	510229,	512256,
YER166W	YER166W	chrV	+	512743	517459	512743	517459	1	512743,	517459,
YER167W	YER167W	chrV	+	518215	520771	518215	520771	1	518215,	520771,
YER168C	YER168C	chrV	-	521028	522669	521028	522669	1	521028,	522669,
YER170W	YER170W	chrV	+	525949	527003	525973	526651	1	525949,	527003,
YER171W	YER171W	chrV	+	526965	529518	527081	529418	1	526965,	529518,
YER172C	YER172C	chrV	-	529529	536021	529529	536021	1	529529,	536021,
YER173W	YER173W	chrV	+	536298	538452	536299	538279	1	536298,	538452,
YER174C	YER174C	chrV	-	538433	539168	538433	539168	1	538433,	539168,
YER175C	YER175C	chrV	-	539463	540363	539463	540363	1	539463,	540363,
YER175W-A	YER175W-A	chrV	+	540649	540814	540649	540814	1	540649,	540814,
YER176W	YER176W	chrV	+	541689	545055	541689	545055	1	541689,	545055,
YER177W	YER177W	chrV	+	545570	546584	545610	546414	1	545570,	546584,
YER178W	YER178W	chrV	+	546790	548213	546816	548079	1	546790,	548213,
YER179W	YER179W	chrV	+	548420	549517	548420	549517	2	548420,548644,	548552,549517,
YER180C	YER180C	chrV	-	549723	550527	549723	550527	1	549723,	550527,
YER180C-A	YER180C-A	chrV	-	550192	551141	550864	551122	1	550192,	551141,
YER182W	YER182W	chrV	+	552488	553344	552524	553259	1	552488,	553344,
YER183C	YER183C	chrV	-	553241	553971	553333	553969	1	553241,	553971,
YER184C	YER184C	chrV	-	556295	558680	556295	558680	1	556295,	558680,
YER185W	YER185W	chrV	+	559453	560365	559453	560365	1	559453,	560365,
YER186C	YER186C	chrV	-	561704	562625	561704	562625	1	561704,	562625,
YER187W	YER187W	chrV	+	566229	566655	566229	566655	1	566229,	566655,
YJL091C	YJL091C	chrX	-	261003	262561	261079	262552	1	261003,	262561,
YJL026W	YJL026W	chrX	+	392403	393603	392403	393603	1	392403,	393603,
YJR125C	YJR125C	chrX	-	654652	656024	654736	655963	1	654652,	656024,
YJL218W	YJL218W	chrX	+	21954	22715	21972	22563	1	21954,	22715,
YJL217W	YJL217W	chrX	+	23124	23812	23132	23729	1	23124,	23812,
YJL216C	YJL216C	chrX	-	24340	26086	24340	26086	1	24340,	26086,
YJL214W	YJL214W	chrX	+	26886	28596	26886	28596	1	26886,	28596,
YJL213W	YJL213W	chrX	+	31818	33497	32162	33158	1	31818,	33497,
YJL212C	YJL212C	chrX	-	33648	36278	33849	36249	1	33648,	36278,
YJL210W	YJL210W	chrX	+	36865	37797	36918	37734	1	36865,	37797,
YJL209W	YJL209W	chrX	+	38004	39969	38004	39969	1	38004,	39969,
YJL208C	YJL208C	chrX	-	40010	41184	40193	41183	1	40010,	41184,
YJL207C	YJL207C	chrX	-	41388	47433	41388	47433	1	41388,	47433,
YJL206C	YJL206C	chrX	-	47588	49969	47658	49935	1	47588,	49969,
YJL205C	YJL205C	chrX	-	50138	50443	50138	50443	2	50138,50411,	50268,50443,
YJL204C	YJL204C	chrX	-	50556	53167	50628	53151	1	50556,	53167,
YJL203W	YJL203W	chrX	+	53316	54288	53340	54183	1	53316,	54288,
YJL201W	YJL201W	chrX	+	54374	56321	54378	56178	1	54374,	56321,
YJL200C	YJL200C	chrX	-	56443	58813	56443	58813	1	56443,	58813,
YJL198W	YJL198W	chrX	+	60792	63571	60843	63489	1	60792,	63571,
YJL197W	YJL197W	chrX	+	63749	67644	63804	67569	1	63749,	67644,
YJL196C	YJL196C	chrX	-	67714	68806	67849	68782	1	67714,	68806,
YJL194W	YJL194W	chrX	+	69337	70879	69337	70879	1	69337,	70879,
YJL193W	YJL193W	chrX	+	71357	72642	71365	72574	1	71357,	72642,
YJL192C	YJL192C	chrX	-	72602	73421	72709	73414	1	72602,	73421,
YJL190C	YJL190C	chrX	-	74758	75319	74909	75302	1	74758,	75319,
YJL189W	YJL189W	chrX	+	75905	76611	75932	76474	2	75905,76324,	75938,76611,
YJL187C	YJL187C	chrX	-	76773	79356	76802	79262	1	76773,	79356,
